book,total_words,common_count,percentage_common
Alices_Adventures_in_Wonderland.txt,27627,22248,80.53
A_Dolls_House_a_play.txt,27339,22788,83.35
A_Modest_Proposal_For_preventing_the_children_of_poor_people_in_Ireland_from_being_a_burden_on_their_parents_or_country_and_for_making_them_beneficial_to_the_publick.txt,3420,3001,87.75
A_Room_with_a_View.txt,68578,55091,80.33
A_Tale_of_Two_Cities.txt,138731,115237,83.07
Beowulf_An_Anglo_Saxon_Epic_Poem.txt,40272,28463,70.68
Cranford.txt,71667,61471,85.77
Crime_and_Punishment.txt,207618,171671,82.69
Dracula.txt,163510,142616,87.22
Frankenstein_Or_The_Modern_Prometheus.txt,75394,64225,85.19
History_of_Tom_Jones_a_Foundling.txt,356777,305704,85.68
Jane_Eyre_An_Autobiography.txt,189327,156353,82.58
Little_Women_Or_Meg_Jo_Beth_and_Amy.txt,197644,172804,87.43
Middlemarch.txt,321402,268593,83.57
Moby_Dick_Or_The_Whale.txt,214930,171283,79.69
My_Life_Volume_1.txt,219847,191098,86.92
Pride_and_Prejudice.txt,129358,110654,85.54
Romeo_and_Juliet.txt,26146,20662,79.03
Simple_Sabotage_Field_Manual.txt,9156,7840,85.63
The_Adventures_of_Ferdinand_Count_Fathom_Complete.txt,162205,134477,82.91
The_Adventures_of_Roderick_Random.txt,191750,162512,84.75
The_Blue_Castle_a_novel.txt,69585,54567,78.42
The_Complete_Works_of_William_Shakespeare.txt,969332,775283,79.98
The_Enchanted_April.txt,79169,67241,84.93
The_Expedition_of_Humphry_Clinker.txt,149343,124195,83.16
The_Importance_of_Being_Earnest_A_Trivial_Comedy_for_Serious_People.txt,20633,17386,84.26
The_Legend_of_Sleepy_Hollow.txt,12246,9985,81.54
The_Picture_of_Dorian_Gray.txt,80508,67579,83.94
The_Scarlet_Letter.txt,85039,69552,81.79
The_Strange_Case_of_Dr_Jekyll_and_Mr_Hyde.txt,26073,21978,84.29
The_Works_of_Edgar_Allan_Poe_Volume_2.txt,95874,79011,82.41
Twenty_years_after.txt,252304,196067,77.71
