book,total_words,common_count,percentage_common
Alices_Adventures_in_Wonderland.txt,27627,354,1.28
A_Dolls_House_a_play.txt,27339,554,2.03
A_Modest_Proposal_For_preventing_the_children_of_poor_people_in_Ireland_from_being_a_burden_on_their_parents_or_country_and_for_making_them_beneficial_to_the_publick.txt,3420,116,3.39
A_Room_with_a_View.txt,68578,1539,2.24
A_Tale_of_Two_Cities.txt,138731,2946,2.12
Beowulf_An_Anglo_Saxon_Epic_Poem.txt,40272,722,1.79
Cranford.txt,71667,1554,2.17
Crime_and_Punishment.txt,207618,4626,2.23
Dracula.txt,163510,2692,1.65
Frankenstein_Or_The_Modern_Prometheus.txt,75394,2576,3.42
History_of_Tom_Jones_a_Foundling.txt,356777,10596,2.97
Jane_Eyre_An_Autobiography.txt,189327,4425,2.34
Little_Women_Or_Meg_Jo_Beth_and_Amy.txt,197644,3585,1.81
Middlemarch.txt,321402,9096,2.83
Moby_Dick_Or_The_Whale.txt,214930,4257,1.98
My_Life_Volume_1.txt,219847,10576,4.81
Pride_and_Prejudice.txt,129358,5290,4.09
Romeo_and_Juliet.txt,26146,176,0.67
Simple_Sabotage_Field_Manual.txt,9156,552,6.03
The_Adventures_of_Ferdinand_Count_Fathom_Complete.txt,162205,7277,4.49
The_Adventures_of_Roderick_Random.txt,191750,6929,3.61
The_Blue_Castle_a_novel.txt,69585,1367,1.96
The_Complete_Works_of_William_Shakespeare.txt,969332,9865,1.02
The_Enchanted_April.txt,79169,2125,2.68
The_Expedition_of_Humphry_Clinker.txt,149343,4706,3.15
The_Importance_of_Being_Earnest_A_Trivial_Comedy_for_Serious_People.txt,20633,563,2.73
The_Legend_of_Sleepy_Hollow.txt,12246,321,2.62
The_Picture_of_Dorian_Gray.txt,80508,1708,2.12
The_Scarlet_Letter.txt,85039,2572,3.02
The_Strange_Case_of_Dr_Jekyll_and_Mr_Hyde.txt,26073,565,2.17
The_Works_of_Edgar_Allan_Poe_Volume_2.txt,95874,3151,3.29
Twenty_years_after.txt,252304,5111,2.03
