book,total_words,common_count,percentage_common
A_century_of_childrens_books.txt,82132,63149,76.89
A_Modest_Proposal_For_preventing_the.txt,3420,3001,87.75
A_Mothers_List_of_Books_for.txt,48792,39351,80.65
A_Primary_Reader_Old_time_Stories.txt,8791,7643,86.94
Book_of_Mormon_Stories_No_1.txt,11298,10197,90.25
Cautionary_Tales_for_Children.txt,2748,2296,83.55
Chaucer_for_Children_A_Golden_Key.txt,66568,51773,77.77
Childrens_books_and_reading.txt,61191,47328,77.34
Childrens_Books_and_Their_Illustrators.txt,29158,24066,82.54
Childrens_Classics_in_Dramatic_Form_A.txt,25305,20146,79.61
Childrens_Classics_in_Dramatic_Form_Book.txt,15762,12725,80.73
Childrens_Hour_with_Red_Riding_Hood.txt,2723,2461,90.38
Childrens_Literature_A_Textbook_of_Sources.txt,386343,335088,86.73
Childrens_Rhymes_Childrens_Games_Childrens_Songs.txt,73479,62963,85.69
Children_Above_180_IQ_Stanford_Binet.txt,90520,77112,85.19
Children_in_Prison_and_Other_Cruelties.txt,4145,3689,89.0
Children_of_the_Bush.txt,87553,71124,81.24
Children_of_the_Dead_End_The.txt,97587,86119,88.25
Children_of_the_Dear_Cotswolds.txt,65873,56586,85.9
Children_of_the_Frost.txt,50564,42884,84.81
Children_of_the_Ghetto_A_Study.txt,198103,164520,83.05
Children_of_the_Mist.txt,178508,150291,84.19
Children_of_the_Night.txt,12916,10889,84.31
Children_of_the_Tenements.txt,87454,75780,86.65
Children_of_the_Whirlwind.txt,101299,85380,84.29
Death_Valley_in_49_Important_chapter.txt,167588,154043,91.92
Dickens_Stories_About_Children_Every_Child.txt,64326,56586,87.97
Educating_by_story_telling_b_showing.txt,122654,101778,82.98
Educational_Toys_Consisting_Chiefly_of_Coping.txt,15017,12951,86.24
Fables_for_Children_Stories_for_Children.txt,142534,127492,89.45
Fathers_and_Children.txt,76212,65046,85.35
Finnish_Legends_for_English_Children.txt,46220,39429,85.31
Five_Children_and_It.txt,467,309,66.17
Flower_Children_The_Little_Cousins_of.txt,2339,1927,82.39
Forward_Children.txt,59025,48862,82.78
FreeChildrenStoriescom_Collection.txt,15912,14310,89.93
Games_and_songs_of_American_children.txt,74556,61645,82.68
Gipsy_Life_Being_an_account_of.txt,109907,92703,84.35
Good_Stories_for_Great_Holidays_Arranged.txt,95566,81062,84.82
Grammar_land_Or_Grammar_in_Fun.txt,25090,19109,76.16
Holy_in_Christ_Thoughts_on_the.txt,84757,74998,88.49
How_to_Tell_Stories_to_Children.txt,56706,50320,88.74
In_Search_of_the_Castaways_A.txt,139568,118252,84.73
In_Search_of_the_Castaways_Or.txt,162571,131655,80.98
Ive_been_a_Gipsying_or_Rambles.txt,132883,110222,82.95
Letters_to_His_Children.txt,42285,37442,88.55
Library_Work_with_Children.txt,135277,124511,92.04
Literature_for_Children.txt,59233,48847,82.47
Madam_How_and_Lady_Why_Or.txt,74250,67201,90.51
Micah_Clarke_His_Statement_as_made.txt,181514,148605,81.87
New_Treasure_Seekers_Or_The_Bastable.txt,69865,61333,87.79
One_thousand_books_for_children.txt,34206,25461,74.43
Stories_from_the_Faerie_Queen_Told.txt,22657,19888,87.78
Stories_of_King_Arthurs_Knights_Told.txt,20673,18241,88.24
Stories_of_Siegfried_Told_to_the.txt,20182,16720,82.85
Stories_the_Iroquois_Tell_Their_Children.txt,26582,24148,90.84
Stories_to_Tell_Children_Fifty_Four.txt,54769,48873,89.23
The_Adventures_of_Fleet_Foot_and.txt,19428,16578,85.33
The_Aesop_for_Children_With_pictures.txt,27794,24460,88.0
The_Bitter_Cry_of_the_Children.txt,83985,70444,83.88
The_Blue_Bird_for_Children_The.txt,34290,30457,88.82
The_Box_Car_Children.txt,25093,22046,87.86
The_Burgess_Animal_Book_for_Children.txt,82548,71329,86.41
The_Burgess_Bird_Book_for_Children.txt,77976,66625,85.44
The_Care_and_Feeding_of_Children.txt,33692,28701,85.19
The_Childrens_Bible.txt,139308,126022,90.46
The_Childrens_Book_of_Birds.txt,71906,63437,88.22
The_Childrens_Book_of_Christmas_Stories.txt,79793,69661,87.3
The_Childrens_Book_of_Gardening.txt,47239,41342,87.52
The_Childrens_Book_of_London.txt,84598,77992,92.19
The_Childrens_Book_of_Thanksgiving_Stories.txt,84302,72179,85.62
The_Childrens_Garland_from_the_Best.txt,66628,54663,82.04
The_Childrens_Hour_v_5_Stories.txt,124394,110382,88.74
The_Childrens_Pilgrimage.txt,84757,74877,88.34
The_Childrens_Story_of_the_War.txt,97877,82145,83.93
The_Children_of_Odin_The_Book.txt,66196,55939,84.51
The_Children_of_the_New_Forest.txt,114455,103876,90.76
The_Children_of_the_Poor.txt,86392,76449,88.49
The_family_Robinson_Crusoe_b_or.txt,171574,150931,87.97
The_Grandchildren_of_the_Ghetto.txt,83362,69351,83.19
The_Heroes_Or_Greek_Fairy_Tales.txt,48556,40406,83.22
The_House_of_Arden_A_Story.txt,75219,65667,87.3
The_Infant_System_For_Developing_the.txt,125302,111640,89.1
The_Montessori_Method_Scientific_Pedagogy_as.txt,119237,106073,88.96
The_Night_Before_Christmas_and_Other.txt,7141,6373,89.25
The_Parents_Assistant_Or_Stories_for.txt,171705,140751,81.97
The_Railway_Children.txt,66845,55575,83.14
The_Story_of_the_Treasure_Seekers.txt,53548,45468,84.91
Treatise_on_Parents_and_Children.txt,39945,35278,88.32
Under_the_Window_Pictures_Rhymes_for.txt,3477,3020,86.86
Very_Short_Stories_and_Verses_For.txt,14730,13299,90.29
Wonderful_Stories_for_Children.txt,26386,23546,89.24
World_Stories_Retold_for_Modern_Boys.txt,95567,81626,85.41
