book,total_words,common_count,percentage_common
A_century_of_childrens_books.txt,82132,2449,2.98
A_Modest_Proposal_For_preventing_the.txt,3420,116,3.39
A_Mothers_List_of_Books_for.txt,48792,2194,4.5
A_Primary_Reader_Old_time_Stories.txt,8791,116,1.32
Book_of_Mormon_Stories_No_1.txt,11298,287,2.54
Cautionary_Tales_for_Children.txt,2748,141,5.13
Chaucer_for_Children_A_Golden_Key.txt,66568,1057,1.59
Childrens_books_and_reading.txt,61191,2781,4.54
Childrens_Books_and_Their_Illustrators.txt,29158,1438,4.93
Childrens_Classics_in_Dramatic_Form_A.txt,25305,219,0.87
Childrens_Classics_in_Dramatic_Form_Book.txt,15762,107,0.68
Childrens_Hour_with_Red_Riding_Hood.txt,2723,20,0.73
Childrens_Literature_A_Textbook_of_Sources.txt,386343,7411,1.92
Childrens_Rhymes_Childrens_Games_Childrens_Songs.txt,73479,1417,1.93
Children_Above_180_IQ_Stanford_Binet.txt,90520,5962,6.59
Children_in_Prison_and_Other_Cruelties.txt,4145,165,3.98
Children_of_the_Bush.txt,87553,1398,1.6
Children_of_the_Dead_End_The.txt,97587,1137,1.17
Children_of_the_Dear_Cotswolds.txt,65873,1360,2.06
Children_of_the_Frost.txt,50564,507,1.0
Children_of_the_Ghetto_A_Study.txt,198103,4599,2.32
Children_of_the_Mist.txt,178508,3388,1.9
Children_of_the_Night.txt,12916,98,0.76
Children_of_the_Tenements.txt,87454,1629,1.86
Children_of_the_Whirlwind.txt,101299,2355,2.32
Death_Valley_in_49_Important_chapter.txt,167588,3414,2.04
Dickens_Stories_About_Children_Every_Child.txt,64326,1258,1.96
Educating_by_story_telling_b_showing.txt,122654,3434,2.8
Educational_Toys_Consisting_Chiefly_of_Coping.txt,15017,453,3.02
Fables_for_Children_Stories_for_Children.txt,142534,2967,2.08
Fathers_and_Children.txt,76212,1878,2.46
Finnish_Legends_for_English_Children.txt,46220,436,0.94
Five_Children_and_It.txt,467,26,5.57
Flower_Children_The_Little_Cousins_of.txt,2339,110,4.7
Forward_Children.txt,59025,1055,1.79
FreeChildrenStoriescom_Collection.txt,15912,173,1.09
Games_and_songs_of_American_children.txt,74556,2136,2.86
Gipsy_Life_Being_an_account_of.txt,109907,3513,3.2
Good_Stories_for_Great_Holidays_Arranged.txt,95566,1998,2.09
Grammar_land_Or_Grammar_in_Fun.txt,25090,417,1.66
Holy_in_Christ_Thoughts_on_the.txt,84757,2109,2.49
How_to_Tell_Stories_to_Children.txt,56706,1388,2.45
In_Search_of_the_Castaways_A.txt,139568,5119,3.67
In_Search_of_the_Castaways_Or.txt,162571,4877,3.0
Ive_been_a_Gipsying_or_Rambles.txt,132883,3437,2.59
Letters_to_His_Children.txt,42285,1225,2.9
Library_Work_with_Children.txt,135277,8081,5.97
Literature_for_Children.txt,59233,1924,3.25
Madam_How_and_Lady_Why_Or.txt,74250,1113,1.5
Micah_Clarke_His_Statement_as_made.txt,181514,2550,1.4
New_Treasure_Seekers_Or_The_Bastable.txt,69865,944,1.35
One_thousand_books_for_children.txt,34206,1267,3.7
Stories_from_the_Faerie_Queen_Told.txt,22657,164,0.72
Stories_of_King_Arthurs_Knights_Told.txt,20673,187,0.9
Stories_of_Siegfried_Told_to_the.txt,20182,168,0.83
Stories_the_Iroquois_Tell_Their_Children.txt,26582,308,1.16
Stories_to_Tell_Children_Fifty_Four.txt,54769,806,1.47
The_Adventures_of_Fleet_Foot_and.txt,19428,208,1.07
The_Aesop_for_Children_With_pictures.txt,27794,445,1.6
The_Bitter_Cry_of_the_Children.txt,83985,4927,5.87
The_Blue_Bird_for_Children_The.txt,34290,655,1.91
The_Box_Car_Children.txt,25093,414,1.65
The_Burgess_Animal_Book_for_Children.txt,82548,1412,1.71
The_Burgess_Bird_Book_for_Children.txt,77976,967,1.24
The_Care_and_Feeding_of_Children.txt,33692,1195,3.55
The_Childrens_Bible.txt,139308,1551,1.11
The_Childrens_Book_of_Birds.txt,71906,1007,1.4
The_Childrens_Book_of_Christmas_Stories.txt,79793,1540,1.93
The_Childrens_Book_of_Gardening.txt,47239,851,1.8
The_Childrens_Book_of_London.txt,84598,1448,1.71
The_Childrens_Book_of_Thanksgiving_Stories.txt,84302,1545,1.83
The_Childrens_Garland_from_the_Best.txt,66628,371,0.56
The_Childrens_Hour_v_5_Stories.txt,124394,2108,1.69
The_Childrens_Pilgrimage.txt,84757,1182,1.39
The_Childrens_Story_of_the_War.txt,97877,2515,2.57
The_Children_of_Odin_The_Book.txt,66196,443,0.67
The_Children_of_the_New_Forest.txt,114455,2223,1.94
The_Children_of_the_Poor.txt,86392,2888,3.34
The_family_Robinson_Crusoe_b_or.txt,171574,5791,3.38
The_Grandchildren_of_the_Ghetto.txt,83362,2181,2.62
The_Heroes_Or_Greek_Fairy_Tales.txt,48556,229,0.47
The_House_of_Arden_A_Story.txt,75219,913,1.21
The_Infant_System_For_Developing_the.txt,125302,4640,3.7
The_Montessori_Method_Scientific_Pedagogy_as.txt,119237,6893,5.78
The_Night_Before_Christmas_and_Other.txt,7141,144,2.02
The_Parents_Assistant_Or_Stories_for.txt,171705,3298,1.92
The_Railway_Children.txt,66845,1118,1.67
The_Story_of_the_Treasure_Seekers.txt,53548,632,1.18
Treatise_on_Parents_and_Children.txt,39945,1737,4.35
Under_the_Window_Pictures_Rhymes_for.txt,3477,119,3.42
Very_Short_Stories_and_Verses_For.txt,14730,105,0.71
Wonderful_Stories_for_Children.txt,26386,400,1.52
World_Stories_Retold_for_Modern_Boys.txt,95567,1828,1.91
