book,total_words,common_count,percentage_common
A_century_of_childrens_books.txt,82132,18188,22.14
A_Modest_Proposal_For_preventing_the.txt,3420,942,27.54
A_Mothers_List_of_Books_for.txt,48792,12222,25.05
A_Primary_Reader_Old_time_Stories.txt,8791,1718,19.54
Book_of_Mormon_Stories_No_1.txt,11298,2737,24.23
Cautionary_Tales_for_Children.txt,2748,549,19.98
Chaucer_for_Children_A_Golden_Key.txt,66568,11650,17.5
Childrens_books_and_reading.txt,61191,13997,22.87
Childrens_Books_and_Their_Illustrators.txt,29158,7123,24.43
Childrens_Classics_in_Dramatic_Form_A.txt,25305,5229,20.66
Childrens_Classics_in_Dramatic_Form_Book.txt,15762,3062,19.43
Childrens_Hour_with_Red_Riding_Hood.txt,2723,602,22.11
Childrens_Literature_A_Textbook_of_Sources.txt,386343,82402,21.33
Childrens_Rhymes_Childrens_Games_Childrens_Songs.txt,73479,15603,21.23
Children_Above_180_IQ_Stanford_Binet.txt,90520,24026,26.54
Children_in_Prison_and_Other_Cruelties.txt,4145,1036,24.99
Children_of_the_Bush.txt,87553,16630,18.99
Children_of_the_Dead_End_The.txt,97587,20634,21.14
Children_of_the_Dear_Cotswolds.txt,65873,13527,20.53
Children_of_the_Frost.txt,50564,9536,18.86
Children_of_the_Ghetto_A_Study.txt,198103,39035,19.7
Children_of_the_Mist.txt,178508,35308,19.78
Children_of_the_Night.txt,12916,2467,19.1
Children_of_the_Tenements.txt,87454,18459,21.11
Children_of_the_Whirlwind.txt,101299,21004,20.73
Death_Valley_in_49_Important_chapter.txt,167588,41732,24.9
Dickens_Stories_About_Children_Every_Child.txt,64326,13620,21.17
Educating_by_story_telling_b_showing.txt,122654,28499,23.24
Educational_Toys_Consisting_Chiefly_of_Coping.txt,15017,3570,23.77
Fables_for_Children_Stories_for_Children.txt,142534,29651,20.8
Fathers_and_Children.txt,76212,15356,20.15
Finnish_Legends_for_English_Children.txt,46220,9350,20.23
Five_Children_and_It.txt,467,89,19.06
Flower_Children_The_Little_Cousins_of.txt,2339,495,21.16
Forward_Children.txt,59025,12679,21.48
FreeChildrenStoriescom_Collection.txt,15912,3349,21.05
Games_and_songs_of_American_children.txt,74556,16348,21.93
Gipsy_Life_Being_an_account_of.txt,109907,25155,22.89
Good_Stories_for_Great_Holidays_Arranged.txt,95566,21357,22.35
Grammar_land_Or_Grammar_in_Fun.txt,25090,4400,17.54
Holy_in_Christ_Thoughts_on_the.txt,84757,16079,18.97
How_to_Tell_Stories_to_Children.txt,56706,12642,22.29
In_Search_of_the_Castaways_A.txt,139568,33683,24.13
In_Search_of_the_Castaways_Or.txt,162571,37140,22.85
Ive_been_a_Gipsying_or_Rambles.txt,132883,29520,22.22
Letters_to_His_Children.txt,42285,9550,22.58
Library_Work_with_Children.txt,135277,37337,27.6
Literature_for_Children.txt,59233,13477,22.75
Madam_How_and_Lady_Why_Or.txt,74250,16171,21.78
