book,total_words,common_count,percentage_common,ASL,ASW,FKGL_Score
2_B_R_0_2_B.txt,2677,2284,85.32,10.36,1.39,4.84
Anabasis.txt,95199,82280,86.43,28.15,1.38,11.71
Anthem.txt,19300,17838,92.42,15.4,1.23,4.98
Antiquities_of_the_Jews.txt,548333,476326,86.87,47.58,1.4,19.43
An_Enquiry_Concerning_Human_Understanding.txt,57903,50825,87.78,31.73,1.62,15.9
An_Essay_Concerning_Humane_Understanding_Volume.txt,150174,136603,90.96,37.99,1.48,16.73
Apology.txt,19393,17290,89.16,27.34,1.43,11.99
As_a_man_thinketh.txt,7597,6555,86.28,26.56,1.51,12.58
A_Connecticut_Yankee_in_King_Arthurs.txt,120034,103284,86.05,20.81,1.34,8.37
A_Journey_to_the_Centre_of.txt,86046,75093,87.27,16.56,1.46,8.07
A_Midsummer_Nights_Dream.txt,17385,13779,79.26,14.17,1.31,5.42
A_Pickle_for_the_Knowing_Ones.txt,12901,9911,76.82,61.67,1.27,23.46
Baron_Trumps_Marvellous_Underground_Journey.txt,70137,59080,84.24,28.28,1.37,11.55
Bartleby_the_Scrivener_A_Story_of.txt,14577,12106,83.05,18.06,1.47,8.75
Beowulf_An_Anglo_Saxon_Epic_Poem.txt,40272,28463,70.68,18.15,1.44,8.49
Beyond_Good_and_Evil.txt,63242,52513,83.04,35.21,1.61,17.09
Carmilla.txt,28486,24321,85.38,19.95,1.4,8.68
Childe_Harolds_Pilgrimage.txt,38330,29552,77.1,31.45,1.3,12.01
Common_Sense.txt,22082,19448,88.07,30.62,1.51,14.13
Cookery_and_Dining_in_Imperial_Rome.txt,108356,74784,69.02,17.49,1.51,9.02
Crime_and_Punishment.txt,207618,171671,82.69,13.72,1.37,5.94
Democracy_in_America_Volume_2.txt,141402,125968,89.09,33.17,1.59,16.14
Discourse_on_the_Method_of_Rightly.txt,23045,21087,91.5,79.72,1.48,32.93
Divine_Comedy_Longfellows_Translation_Hell.txt,38532,31237,81.07,27.75,1.31,10.72
Don_Juan.txt,126263,101389,80.3,37.15,1.33,14.56
Dracula.txt,163510,142616,87.22,18.67,1.29,6.87
Ecce_Homo_Complete_Works_Volume_Seventeen.txt,47588,39543,83.09,22.72,1.47,10.6
