book,total_words,common_count,percentage_common
2_B_R_0_2_B.txt,2677,74,2.76
Anabasis.txt,95199,2244,2.36
Anthem.txt,19300,202,1.05
Antiquities_of_the_Jews.txt,548333,14438,2.63
An_Enquiry_Concerning_Human_Understanding.txt,57903,4022,6.95
An_Essay_Concerning_Humane_Understanding_Volume.txt,150174,7099,4.73
Apology.txt,19393,730,3.76
As_a_man_thinketh.txt,7597,361,4.75
A_Connecticut_Yankee_in_King_Arthurs.txt,120034,2403,2.0
A_Journey_to_the_Centre_of.txt,86046,3187,3.7
A_Midsummer_Nights_Dream.txt,17385,136,0.78
A_Pickle_for_the_Knowing_Ones.txt,12901,156,1.21
Baron_Trumps_Marvellous_Underground_Journey.txt,70137,1538,2.19
Bartleby_the_Scrivener_A_Story_of.txt,14577,449,3.08
Beowulf_An_Anglo_Saxon_Epic_Poem.txt,40272,722,1.79
Beyond_Good_and_Evil.txt,63242,3090,4.89
Carmilla.txt,28486,800,2.81
Childe_Harolds_Pilgrimage.txt,38330,268,0.7
Common_Sense.txt,22082,997,4.51
Cookery_and_Dining_in_Imperial_Rome.txt,108356,3195,2.95
Crime_and_Punishment.txt,207618,4626,2.23
Democracy_in_America_Volume_2.txt,141402,9231,6.53
Discourse_on_the_Method_of_Rightly.txt,23045,1139,4.94
Divine_Comedy_Longfellows_Translation_Hell.txt,38532,359,0.93
Don_Juan.txt,126263,1823,1.44
Dracula.txt,163510,2692,1.65
Ecce_Homo_Complete_Works_Volume_Seventeen.txt,47588,1570,3.3
Essays_by_Ralph_Waldo_Emerson.txt,94127,3208,3.41
Ethics.txt,89207,4682,5.25
Faust_part_1_Translated_Into_English.txt,38308,730,1.91
Frankenstein_Or_The_Modern_Prometheus.txt,78164,2696,3.45
Gullivers_Travels_into_Several_Remote_Nations.txt,105406,3072,2.91
Heart_of_Darkness.txt,38352,833,2.17
How_to_Live_on_24_Hours.txt,12995,525,4.04
How_We_Think.txt,65328,5587,8.55
Leaves_of_Grass.txt,121760,2198,1.81
Leviathan.txt,213757,7812,3.65
Little_Brother.txt,123616,3307,2.68
Lysistrata.txt,14935,254,1.7
Meditations.txt,72219,2133,2.95
Metamorphosis.txt,22012,564,2.56
Moby_Dick_Or_The_Whale.txt,570,25,4.39
Mrs_Dalloway.txt,63994,1325,2.07
Myths_and_Legends_of_Ancient_Greece.txt,106837,3798,3.55
Nature.txt,15423,595,3.86
Oedipus_King_of_Thebes_Translated_into.txt,18584,180,0.97
On_Liberty.txt,52181,3312,6.35
On_the_Duties_of_the_Clergy.txt,1025,25,2.44
On_the_Duty_of_Civil_Disobedience.txt,9424,388,4.12
On_the_Origin_of_Species_By.txt,155823,10341,6.64
