book,total_words,common_count,percentage_common
2_B_R_0_2_B.txt,2677,523,19.54
Anabasis.txt,95199,20789,21.84
Anthem.txt,19300,4519,23.41
Antiquities_of_the_Jews.txt,548333,114502,20.88
An_Enquiry_Concerning_Human_Understanding.txt,57903,14373,24.82
An_Essay_Concerning_Humane_Understanding_Volume.txt,150174,37986,25.29
Apology.txt,19393,4281,22.07
As_a_man_thinketh.txt,7597,1789,23.55
A_Connecticut_Yankee_in_King_Arthurs.txt,120034,24434,20.36
A_Journey_to_the_Centre_of.txt,86046,20547,23.88
A_Midsummer_Nights_Dream.txt,17385,3007,17.3
A_Pickle_for_the_Knowing_Ones.txt,12901,1953,15.14
Baron_Trumps_Marvellous_Underground_Journey.txt,70137,15553,22.18
Bartleby_the_Scrivener_A_Story_of.txt,14577,3082,21.14
Beowulf_An_Anglo_Saxon_Epic_Poem.txt,40272,6921,17.19
Beyond_Good_and_Evil.txt,63242,13904,21.99
Carmilla.txt,28486,6200,21.77
Childe_Harolds_Pilgrimage.txt,38330,7810,20.38
Common_Sense.txt,22082,5296,23.98
Cookery_and_Dining_in_Imperial_Rome.txt,108356,20026,18.48
Crime_and_Punishment.txt,207618,41044,19.77
Democracy_in_America_Volume_2.txt,141402,37025,26.18
Discourse_on_the_Method_of_Rightly.txt,23045,5959,25.86
Divine_Comedy_Longfellows_Translation_Hell.txt,38532,7398,19.2
Don_Juan.txt,126263,26349,20.87
Dracula.txt,163510,31914,19.52
Ecce_Homo_Complete_Works_Volume_Seventeen.txt,47588,10010,21.03
Essays_by_Ralph_Waldo_Emerson.txt,94127,21171,22.49
Ethics.txt,89207,20881,23.41
Faust_part_1_Translated_Into_English.txt,38308,7468,19.49
Frankenstein_Or_The_Modern_Prometheus.txt,78164,17592,22.51
Gullivers_Travels_into_Several_Remote_Nations.txt,105406,26509,25.15
Heart_of_Darkness.txt,38352,7843,20.45
How_to_Live_on_24_Hours.txt,12995,2979,22.92
How_We_Think.txt,65328,16869,25.82
Leaves_of_Grass.txt,121760,25432,20.89
Leviathan.txt,213757,43144,20.18
Little_Brother.txt,123616,27473,22.22
Lysistrata.txt,14935,2515,16.84
Meditations.txt,72219,15039,20.82
Metamorphosis.txt,22012,5429,24.66
Moby_Dick_Or_The_Whale.txt,570,107,18.77
Mrs_Dalloway.txt,63994,14982,23.41
Myths_and_Legends_of_Ancient_Greece.txt,106837,22983,21.51
Nature.txt,15423,3795,24.61
Oedipus_King_of_Thebes_Translated_into.txt,18584,3348,18.02
On_Liberty.txt,52181,13385,25.65
On_the_Duties_of_the_Clergy.txt,1025,166,16.2
On_the_Duty_of_Civil_Disobedience.txt,9424,2024,21.48
On_the_Origin_of_Species_By.txt,155823,41315,26.51
On_War.txt,297633,77390,26.0
Paradise_Lost.txt,80034,15143,18.92
Pascals_Pensees.txt,112315,23742,21.14
Perpetual_Peace_A_Philosophical_Essay.txt,54586,12989,23.8
Persuasion.txt,84148,18993,22.57
Phaedo.txt,42882,9328,21.75
Phaedrus.txt,38245,8534,22.31
Poems_by_Emily_Dickinson_Three_Series.txt,31525,6358,20.17
Poems_Every_Child_Should_Know.txt,1512,199,13.16
Poems_on_various_subjects_religious_and.txt,15458,3204,20.73
Poems_with_The_Ballad_of_Reading.txt,37747,6947,18.4
Psyche_The_Cult_of_Souls_and.txt,333800,57757,17.3
Report_on_the_Radiolaria_Collected_by.txt,456256,96182,21.08
Revelations_of_Divine_Love.txt,82873,14372,17.34
Rip_Van_Winkle.txt,8499,1792,21.08
Second_Treatise_of_Government.txt,56559,13356,23.61
Siddhartha.txt,39530,8522,21.56
Songs_of_Innocence_and_of_Experience.txt,5579,1310,23.48
Spensers_The_Faerie_Queene_Book_I.txt,75572,12152,16.08
Spoon_River_Anthology.txt,3908,416,10.64
Struwwelpeter_Merry_Stories_and_Funny_Pictures.txt,2390,464,19.41
Symposium.txt,32694,6803,20.81
The_Aeneid.txt,107986,22605,20.93
The_Anabasis_of_Alexander_b_or.txt,150357,29458,19.59
The_Antichrist.txt,34064,7005,20.56
The_Art_of_War.txt,55321,12322,22.27
The_Bible_Douay_Rheims_Complete_The.txt,1064702,189295,17.78
The_Birth_of_Tragedy_or_Hellenism.txt,54498,11801,21.65
The_Canterbury_Tales_and_Other_Poems.txt,285479,42347,14.83
The_City_of_God_Volume_I.txt,233395,50813,21.77
The_Communist_Manifesto.txt,11491,2720,23.67
The_Complete_Works_of_William_Shakespeare.txt,969332,177772,18.34
The_Confessions_of_St_Augustine.txt,111993,23252,20.76
The_Consolation_of_Philosophy.txt,43106,9241,21.44
The_Critique_of_Pure_Reason.txt,209421,48072,22.95
The_divine_comedy.txt,109847,20794,18.93
The_Divine_Comedy_of_Dante_Alighieri.txt,117939,23421,19.86
The_Dore_Bible_Gallery_Complete_Containing.txt,35802,6388,17.84
The_Egyptian_Book_of_the_dead.txt,139065,23646,17.0
The_Elementary_Forms_of_the_Religious.txt,221785,50270,22.67
The_Enchiridion.txt,11181,2200,19.68
The_Ethics_of_Aristotle.txt,113998,26664,23.39
The_Fall_of_the_House_of.txt,7111,1504,21.15
The_Genealogy_of_Morals_The_Complete.txt,55729,11952,21.45
The_Germany_and_the_Agricola_of.txt,49120,11194,22.79
The_Great_Gatsby.txt,49584,10300,20.77
The_History_of_Herodotus_Volume_1.txt,162228,35108,21.64
The_History_of_Rome_Books_01.txt,233056,55708,23.9
The_History_of_the_Decline_and.txt,1594233,331578,20.8
The_History_of_the_Peloponnesian_War.txt,204728,48455,23.67
The_Iliad.txt,153677,28216,18.36
The_Invisible_Man_A_Grotesque_Romance.txt,49638,10008,20.16
The_island_of_Doctor_Moreau.txt,44291,8897,20.09
The_Jewish_State.txt,42937,11242,26.18
The_Kama_Sutra_of_Vatsyayana_Translated.txt,59393,14607,24.59
The_King_in_Yellow.txt,73509,14530,19.77
The_King_James_Version_of_the.txt,852598,144647,16.97
The_Lady_of_the_Lake.txt,80050,15847,19.8
The_lesser_Key_of_Solomon_Goetia.txt,21558,4422,20.51
The_Lives_of_the_Twelve_Caesars.txt,234698,50950,21.71
The_Marriage_of_Heaven_and_Hell.txt,4688,1080,23.04
The_Metamorphoses_of_Ovid_Books_I.txt,127891,25873,20.23
