book,total_words,common_count,percentage_common
2_B_R_0_2_B.txt,2677,1685,62.94
Anabasis.txt,95199,59153,62.14
Anthem.txt,19300,13111,67.93
Antiquities_of_the_Jews.txt,548333,345369,62.99
An_Enquiry_Concerning_Human_Understanding.txt,57903,32360,55.89
An_Essay_Concerning_Humane_Understanding_Volume.txt,150174,91251,60.76
Apology.txt,19393,12246,63.15
As_a_man_thinketh.txt,7597,4400,57.92
A_Connecticut_Yankee_in_King_Arthurs.txt,120034,76380,63.63
A_Journey_to_the_Centre_of.txt,86046,51356,59.68
A_Midsummer_Nights_Dream.txt,17385,10609,61.02
A_Pickle_for_the_Knowing_Ones.txt,12901,7745,60.03
Baron_Trumps_Marvellous_Underground_Journey.txt,70137,41977,59.85
Bartleby_the_Scrivener_A_Story_of.txt,14577,8573,58.81
Beowulf_An_Anglo_Saxon_Epic_Poem.txt,40272,20756,51.54
Beyond_Good_and_Evil.txt,63242,35409,55.99
Carmilla.txt,28486,17315,60.78
Childe_Harolds_Pilgrimage.txt,38330,21412,55.86
Common_Sense.txt,22082,13129,59.46
Cookery_and_Dining_in_Imperial_Rome.txt,108356,51487,47.52
Crime_and_Punishment.txt,207618,125804,60.59
Democracy_in_America_Volume_2.txt,141402,79657,56.33
Discourse_on_the_Method_of_Rightly.txt,23045,13952,60.54
Divine_Comedy_Longfellows_Translation_Hell.txt,38532,23406,60.74
Don_Juan.txt,126263,73054,57.86
Dracula.txt,163510,107775,65.91
Ecce_Homo_Complete_Works_Volume_Seventeen.txt,47588,27894,58.62
Essays_by_Ralph_Waldo_Emerson.txt,94127,54361,57.75
Ethics.txt,89207,53807,60.32
Faust_part_1_Translated_Into_English.txt,38308,21616,56.43
Frankenstein_Or_The_Modern_Prometheus.txt,78164,47019,60.15
Gullivers_Travels_into_Several_Remote_Nations.txt,105406,63084,59.85
Heart_of_Darkness.txt,38352,23004,59.98
How_to_Live_on_24_Hours.txt,12995,8258,63.55
How_We_Think.txt,65328,34548,52.88
Leaves_of_Grass.txt,121760,71255,58.52
Leviathan.txt,213757,128096,59.93
Little_Brother.txt,123616,79257,64.12
Lysistrata.txt,14935,9215,61.7
Meditations.txt,72219,45579,63.11
Metamorphosis.txt,22012,13861,62.97
Moby_Dick_Or_The_Whale.txt,570,152,26.67
Mrs_Dalloway.txt,63994,38165,59.64
Myths_and_Legends_of_Ancient_Greece.txt,106837,56168,52.57
Nature.txt,15423,9115,59.1
Oedipus_King_of_Thebes_Translated_into.txt,18584,11427,61.49
On_Liberty.txt,52181,29879,57.26
On_the_Duties_of_the_Clergy.txt,1025,154,15.02
On_the_Duty_of_Civil_Disobedience.txt,9424,5986,63.52
On_the_Origin_of_Species_By.txt,155823,84598,54.29
On_War.txt,297633,173560,58.31
Paradise_Lost.txt,80034,43101,53.85
Pascals_Pensees.txt,112315,65487,58.31
Perpetual_Peace_A_Philosophical_Essay.txt,54586,29718,54.44
Persuasion.txt,84148,51926,61.71
Phaedo.txt,42882,27869,64.99
Phaedrus.txt,38245,23706,61.98
Poems_by_Emily_Dickinson_Three_Series.txt,31525,19088,60.55
Poems_Every_Child_Should_Know.txt,1512,487,32.21
Poems_on_various_subjects_religious_and.txt,15458,8737,56.52
