book,total_words,common_count,percentage_common
2_B_R_0_2_B.txt,2677,2284,85.32
Anne_of_Green_Gables.txt,104329,85404,81.86
Anthem.txt,19300,17838,92.42
As_a_man_thinketh.txt,7597,6555,86.28
A_Complete_Guide_to_Heraldry.txt,272785,216222,79.26
A_Portrait_of_the_Artist_as.txt,84912,70881,83.48
A_Room_with_a_View.txt,68578,55091,80.33
A_Study_in_Scarlet.txt,44320,37297,84.15
Cyrano_de_Bergerac.txt,35398,27448,77.54
De_Profundis.txt,17823,16030,89.94
Dubliners.txt,68870,56743,82.39
English_Fairy_Tales.txt,376,263,69.95
Ethan_Frome.txt,35251,28996,82.26
Fifteen_Thousand_Useful_Phrases.txt,3999,1957,48.94
Heart_of_Darkness.txt,38352,31700,82.66
History_of_Ancient_Pottery_Greek_Etruscan.txt,234162,153189,65.42
Howards_End.txt,609,283,46.47
How_to_Live_on_24_Hours.txt,12995,11765,90.53
How_We_Think.txt,65328,57006,87.26
Just_so_stories.txt,29567,23873,80.74
Little_Brother.txt,123616,110175,89.13
Metamorphosis.txt,22012,19867,90.26
Moby_Multiple_Language_Lists_of_Common.txt,445,372,83.6
Mrs_Dalloway.txt,63994,54521,85.2
Myths_of_the_Cherokee_Extract_from.txt,302726,255775,84.49
Omens_and_Superstitions_of_Southern_India.txt,95936,79371,82.73
Peter_Pan_b_Peter_and_Wendy.txt,48726,40339,82.79
Plays.txt,59847,50366,84.16
Poems_with_The_Ballad_of_Reading.txt,37747,29259,77.51
Project_Gutenberg_Compilation_of_Short_Stories.txt,954098,830188,87.01
Pygmalion.txt,33574,27765,82.7
Riders_to_the_Sea.txt,8248,6970,84.51
Right_Ho_Jeeves.txt,76387,60930,79.76
Rizals_own_story_of_his_life.txt,12978,11025,84.95
RUR_Rossums_Universal_Robots_A_Fantastic.txt,22214,16910,76.12
Siddhartha.txt,39530,34031,86.09
Southern_Horrors_Lynch_Law_in_All.txt,9752,8399,86.13
Spoon_River_Anthology.txt,3908,1338,34.24
Studies_in_the_Psychology_of_Sex.txt,140656,115943,82.43
The_Adventures_of_Sherlock_Holmes.txt,107235,91145,85.0
The_Blue_Castle_a_novel.txt,69585,54567,78.42
The_call_of_the_wild.txt,31981,26636,83.29
The_Canterville_Ghost.txt,11749,10161,86.48
The_Elementary_Forms_of_the_Religious.txt,221785,189224,85.32
The_Elements_of_Style.txt,14031,11901,84.82
The_eleventh_hour_in_the_life.txt,9762,8547,87.55
The_Enchanted_April.txt,79169,67241,84.93
The_Extraordinary_Adventures_of_Arsene_Lupin.txt,55433,45220,81.58
The_First_Book_of_Adam_and.txt,34920,31080,89.0
The_Game_of_Rat_and_Dragon.txt,5703,4922,86.31
The_Garden_Party_and_Other_Stories.txt,58715,46686,79.51
The_Gift_of_the_Magi.txt,2095,1740,83.05
The_Great_Gatsby.txt,49584,40180,81.03
The_Happy_Prince_and_Other_Tales.txt,16864,14282,84.69
The_Hound_of_the_Baskervilles.txt,60648,51673,85.2
The_Importance_of_Being_Earnest_A.txt,20633,17386,84.26
The_Invisible_Man_A_Grotesque_Romance.txt,49638,39850,80.28
The_island_of_Doctor_Moreau.txt,44291,36624,82.69
The_Jewish_State.txt,42937,37894,88.25
The_Jungle.txt,150603,129666,86.1
The_Jungle_Book.txt,51913,42286,81.46
The_Junior_Classics_Volume_1_Fairy.txt,2461,1377,55.95
The_King_in_Yellow.txt,73509,58007,78.91
The_Lady_with_the_Dog_and.txt,72261,63069,87.28
The_Letters_of_Franklin_K_Lane.txt,141732,128340,90.55
The_Man_Who_Was_Thursday_A.txt,59519,49105,82.5
The_Memoirs_of_Sherlock_Holmes.txt,97678,83751,85.74
The_Monkeys_Paw_The_Lady_of.txt,4111,3252,79.1
The_murder_of_Roger_Ackroyd.txt,73482,58436,79.52
The_Mysterious_Affair_at_Styles.txt,58692,46527,79.27
The_Phantom_of_the_Opera.txt,85742,76138,88.8
The_Philippines_a_Century_Hence.txt,15896,13663,85.95
The_Philosophy_of_Auguste_Comte.txt,110017,95189,86.52
The_Picture_of_Dorian_Gray.txt,80508,67579,83.94
The_Problems_of_Philosophy.txt,42850,39040,91.11
The_Prophet.txt,12645,11112,87.88
The_Pursuit_of_God.txt,29372,26523,90.3
The_Railway_Children.txt,66845,55575,83.14
The_Red_Badge_of_Courage_An.txt,46576,37279,80.04
The_Red_Record_Tabulated_Statistics_and.txt,34513,29481,85.42
The_Reign_of_Greed.txt,116953,94011,80.38
The_Return_of_Sherlock_Holmes.txt,114551,98171,85.7
The_Roll_of_Honour_Volume_1.txt,842577,592279,70.29
The_Sea_Gull.txt,22097,18879,85.44
The_Sign_of_the_Four.txt,44082,37347,84.72
The_Social_Cancer_A_Complete_English.txt,178274,150760,84.57
The_Souls_of_Black_Folk.txt,69319,58240,84.02
The_Story_of_a_Life.txt,96216,84793,88.13
The_Tale_of_Peter_Rabbit.txt,1018,892,87.62
The_Time_Machine.txt,32645,27962,85.65
The_War_of_the_Worlds.txt,60422,50719,83.94
The_Wind_in_the_Willows.txt,59461,48006,80.74
The_Wonderful_Wizard_of_Oz.txt,40718,34738,85.31
The_Yellow_Wallpaper.txt,6125,5448,88.95
Three_men_in_a_boat_to.txt,67638,58403,86.35
Ulysses.txt,267753,207827,77.62
Up_from_Slavery_An_Autobiography.txt,76990,71071,92.31
We.txt,64398,56741,88.11
White_Fang.txt,72599,60772,83.71
Winnie_the_Pooh.txt,23735,20613,86.85
