book,total_words,common_count,percentage_common,ASL,ASW,FKGL_Score
Adventures_of_Huckleberry_Finn.txt,112859,93146,82.53,19.11,1.23,6.34
Alices_Adventures_in_Wonderland.txt,27627,22248,80.53,17.5,1.29,6.5
Anna_Karenina.txt,356607,296023,83.01,17.16,1.38,7.36
Antiquities_of_the_Jews.txt,548333,476326,86.87,47.58,1.4,19.43
An_Essay_Concerning_Humane_Understanding_Volume.txt,150174,136603,90.96,37.99,1.48,16.73
An_Inquiry_into_the_Nature_and.txt,381698,344818,90.34,32.13,1.54,15.17
Autobiography_of_Benjamin_Franklin.txt,77922,67926,87.17,28.11,1.47,12.74
A_Christmas_Carol_in_Prose_Being.txt,28957,25197,87.02,16.63,1.32,6.45
A_Dolls_House_a_play.txt,27339,22788,83.35,10.1,1.32,3.89
A_Modest_Proposal_For_preventing_the.txt,3420,3001,87.75,50.29,1.47,21.35
A_Tale_of_Two_Cities.txt,138731,115237,83.07,18.37,1.37,7.76
Beyond_Good_and_Evil.txt,63242,52513,83.04,35.21,1.61,17.09
Bleak_House.txt,361182,301019,83.34,16.86,1.38,7.23
Candide.txt,36060,30366,84.21,19.63,1.41,8.69
Carmilla.txt,28486,24321,85.38,19.95,1.4,8.68
Common_Sense.txt,22082,19448,88.07,30.62,1.51,14.13
Cranford.txt,71667,61471,85.77,27.0,1.37,11.07
Crime_and_Punishment.txt,207618,171671,82.69,13.72,1.37,5.94
David_Copperfield.txt,362228,302924,83.63,17.86,1.37,7.51
Democracy_in_America_Volume_1.txt,187868,166387,88.57,32.3,1.61,16.05
Don_Quixote.txt,433030,365843,84.48,45.45,1.34,17.96
Dracula.txt,163510,142616,87.22,18.67,1.29,6.87
Emma.txt,161189,137894,85.55,16.85,1.43,7.81
Fables_of_La_Fontaine_a_New.txt,101639,82757,81.42,17.02,1.32,6.6
Faust_part_1_Translated_Into_English.txt,38308,29878,77.99,13.97,1.36,5.91
Frankenstein_Or_The_Modern_Prometheus.txt,78164,67392,86.22,23.24,1.45,10.56
Great_Expectations.txt,189060,158963,84.08,19.46,1.34,7.81
Grimms_Fairy_Tales.txt,103394,90228,87.27,23.22,1.22,7.81
Gullivers_Travels_into_Several_Remote_Nations.txt,105406,92796,88.04,36.93,1.42,15.59
Hamlet.txt,32268,25742,79.78,13.14,1.31,4.94
Hedda_Gabler.txt,30464,24903,81.75,9.73,1.37,4.37
History_of_Tom_Jones_a_Foundling.txt,356777,305704,85.68,29.94,1.43,12.95
How_the_Other_Half_Lives_Studies.txt,82374,71064,86.27,23.15,1.43,10.32
Incidents_in_the_Life_of_a.txt,84010,74133,88.24,16.23,1.33,6.47
Jane_Eyre_An_Autobiography.txt,189327,156353,82.58,19.2,1.36,8.0
Les_Miserables.txt,573637,466705,81.36,16.87,1.41,7.66
Leviathan.txt,213757,180258,84.33,38.21,1.44,16.28
Little_Women.txt,189308,157426,83.16,19.55,1.33,7.75
Little_Women_Or_Meg_Jo_Beth.txt,197644,172804,87.43,21.3,1.34,8.52
Lysistrata.txt,14935,12007,80.4,13.05,1.4,6.02
Meditations.txt,72219,62856,87.04,25.28,1.42,10.98
Middlemarch.txt,321402,268593,83.57,19.64,1.43,8.95
Moby_Dick_Or_The_Whale.txt,214930,171283,79.69,23.23,1.41,10.06
My_Life_Volume_1.txt,219847,191098,86.92,31.94,1.51,14.71
Napoleons_Letters_to_Josephine_1796_1812.txt,97534,72207,74.03,14.26,1.48,7.41
Narrative_of_the_Life_of_Frederick.txt,40991,35894,87.57,19.75,1.4,8.69
Nature.txt,15423,13543,87.81,19.79,1.48,9.62
Notes_from_the_Underground.txt,44440,38396,86.4,17.74,1.38,7.65
Oedipus_King_of_Thebes_Translated_into.txt,18584,15044,80.95,13.84,1.28,4.9
Oliver_Twist.txt,162278,130652,80.51,17.92,1.38,7.74
On_Liberty.txt,52181,46625,89.35,36.12,1.6,17.37
On_the_Origin_of_Species_By.txt,155823,136385,87.53,30.14,1.61,15.13
On_War.txt,297633,270239,90.8,37.12,1.53,17.0
Paradise_Lost.txt,80369,64550,80.32,43.2,1.36,17.27
Poems_on_various_subjects_religious_and.txt,15458,12125,78.44,22.71,1.33,8.98
Pride_and_Prejudice.txt,129358,110654,85.54,18.85,1.46,8.99
Rip_Van_Winkle.txt,8499,6942,81.68,25.14,1.42,10.95
Romeo_and_Juliet.txt,26146,20662,79.03,12.55,1.3,4.68
Second_Treatise_of_Government.txt,56559,50466,89.23,54.15,1.46,22.79
Sense_and_Sensibility.txt,120819,103421,85.6,21.86,1.45,10.07
Songs_of_Innocence_and_of_Experience.txt,5579,4658,83.49,19.71,1.24,6.78
Spensers_The_Faerie_Queene_Book_I.txt,75572,51790,68.53,22.03,1.34,8.78
Symposium.txt,32694,28951,88.55,30.78,1.42,13.16
Tess_of_the_dUrbervilles_A_Pure.txt,152373,125391,82.29,19.44,1.38,8.22
The_Adventures_of_Ferdinand_Count_Fathom.txt,162205,134477,82.91,41.3,1.55,18.8
The_Adventures_of_Roderick_Random.txt,191750,162512,84.75,38.64,1.45,16.62
The_Adventures_of_Tom_Sawyer_Complete.txt,72200,57778,80.02,15.41,1.33,6.11
The_Brothers_Karamazov.txt,357066,294503,82.48,14.64,1.36,6.18
The_Complete_Works_of_William_Shakespeare.txt,969332,775283,79.98,13.74,1.31,5.25
The_Confessions_of_St_Augustine.txt,111993,98399,87.86,30.53,1.33,12.07
The_Count_of_Monte_Cristo.txt,477600,380449,79.66,18.25,1.4,8.1
The_Critique_of_Pure_Reason.txt,209421,184558,88.13,35.58,1.69,18.24
The_divine_comedy.txt,109847,84746,77.15,25.13,1.3,9.5
The_Ethics_of_Aristotle.txt,113998,101429,88.97,39.74,1.45,17.05
The_Expedition_of_Humphry_Clinker.txt,149343,124195,83.16,41.07,1.47,17.74
The_Federalist_Papers.txt,1275,597,46.82,9.68,1.91,10.72
The_Genealogy_of_Morals_The_Complete.txt,55729,46261,83.01,36.16,1.58,17.12
The_History_of_the_Peloponnesian_War.txt,204728,175747,85.84,40.21,1.48,17.58
The_Iliad.txt,190563,143426,75.26,24.93,1.35,10.1
The_Interesting_Narrative_of_the_Life.txt,83002,74147,89.33,29.38,1.38,12.16
The_Legend_of_Sleepy_Hollow.txt,12246,9985,81.54,35.1,1.43,14.99
The_Metamorphoses_of_Ovid_Books_I.txt,127891,100304,78.43,23.06,1.4,9.91
The_Odyssey_Rendered_into_English_prose.txt,130597,112781,86.36,29.44,1.28,10.95
The_Prince.txt,50102,43335,86.49,37.83,1.46,16.43
The_Republic.txt,217174,194012,89.33,26.93,1.44,11.9
The_Scarlet_Letter.txt,85039,69552,81.79,23.0,1.47,10.71
The_Secret_Garden.txt,82811,74280,89.7,14.24,1.28,5.11
The_Sorrows_of_Young_Werther.txt,42702,37454,87.71,19.16,1.4,8.36
The_Tragical_History_of_Doctor_Faustus.txt,20455,15514,75.84,15.08,1.35,6.27
The_Travels_of_Marco_Polo_Volume.txt,376378,275616,73.23,17.95,1.44,8.44
The_Works_of_Edgar_Allan_Poe.txt,95874,79011,82.41,23.07,1.49,11.05
Through_the_Looking_Glass.txt,31055,24295,78.23,14.91,1.29,5.47
Thus_Spake_Zarathustra_A_Book_for.txt,112499,90190,80.17,16.51,1.39,7.3
Twenty_years_after.txt,252304,196067,77.71,15.92,1.36,6.61
Walden_and_On_The_Duty_Of.txt,116520,101114,86.78,28.14,1.38,11.71
War_and_Peace.txt,572177,477605,83.47,18.3,1.41,8.17
White_Nights_and_Other_Stories_The.txt,119755,105206,87.85,17.34,1.36,7.27
Wuthering_Heights.txt,118283,94857,80.19,17.77,1.38,7.58
