book,total_words,common_count,percentage_common,ASL,ASW,FKGL_Score
Adventures_of_Huckleberry_Finn.txt,112859,946,0.84,19.11,1.23,6.34
Alices_Adventures_in_Wonderland.txt,27627,354,1.28,17.5,1.29,6.5
Anna_Karenina.txt,356607,9520,2.67,17.16,1.38,7.36
Antiquities_of_the_Jews.txt,548333,14438,2.63,47.58,1.4,19.43
An_Essay_Concerning_Humane_Understanding_Volume.txt,150174,7099,4.73,37.99,1.48,16.73
An_Inquiry_into_the_Nature_and.txt,381698,23310,6.11,32.13,1.54,15.17
Autobiography_of_Benjamin_Franklin.txt,77922,3427,4.4,28.11,1.47,12.74
A_Christmas_Carol_in_Prose_Being.txt,28957,541,1.87,16.63,1.32,6.45
A_Dolls_House_a_play.txt,27339,554,2.03,10.1,1.32,3.89
A_Modest_Proposal_For_preventing_the.txt,3420,116,3.39,50.29,1.47,21.35
A_Tale_of_Two_Cities.txt,138731,2946,2.12,18.37,1.37,7.76
Beyond_Good_and_Evil.txt,63242,3090,4.89,35.21,1.61,17.09
Bleak_House.txt,361182,8469,2.34,16.86,1.38,7.23
Candide.txt,36060,884,2.45,19.63,1.41,8.69
Carmilla.txt,28486,800,2.81,19.95,1.4,8.68
Common_Sense.txt,22082,997,4.51,30.62,1.51,14.13
Cranford.txt,71667,1554,2.17,27.0,1.37,11.07
Crime_and_Punishment.txt,207618,4626,2.23,13.72,1.37,5.94
David_Copperfield.txt,362228,8098,2.24,17.86,1.37,7.51
Democracy_in_America_Volume_1.txt,187868,13249,7.05,32.3,1.61,16.05
Don_Quixote.txt,433030,8162,1.88,45.45,1.34,17.96
Dracula.txt,163510,2692,1.65,18.67,1.29,6.87
Emma.txt,161189,4541,2.82,16.85,1.43,7.81
Fables_of_La_Fontaine_a_New.txt,101639,1397,1.37,17.02,1.32,6.6
Faust_part_1_Translated_Into_English.txt,38308,730,1.91,13.97,1.36,5.91
Frankenstein_Or_The_Modern_Prometheus.txt,78164,2696,3.45,23.24,1.45,10.56
Great_Expectations.txt,189060,4006,2.12,19.46,1.34,7.81
Grimms_Fairy_Tales.txt,103394,849,0.82,23.22,1.22,7.81
Gullivers_Travels_into_Several_Remote_Nations.txt,105406,3072,2.91,36.93,1.42,15.59
Hamlet.txt,32268,350,1.08,13.14,1.31,4.94
Hedda_Gabler.txt,30464,542,1.78,9.73,1.37,4.37
History_of_Tom_Jones_a_Foundling.txt,356777,10596,2.97,29.94,1.43,12.95
How_the_Other_Half_Lives_Studies.txt,82374,2583,3.14,23.15,1.43,10.32
Incidents_in_the_Life_of_a.txt,84010,1897,2.26,16.23,1.33,6.47
Jane_Eyre_An_Autobiography.txt,189327,4425,2.34,19.2,1.36,8.0
Les_Miserables.txt,573637,14098,2.46,16.87,1.41,7.66
Leviathan.txt,213757,7812,3.65,38.21,1.44,16.28
Little_Women.txt,189308,3170,1.67,19.55,1.33,7.75
Little_Women_Or_Meg_Jo_Beth.txt,197644,3585,1.81,21.3,1.34,8.52
Lysistrata.txt,14935,254,1.7,13.05,1.4,6.02
Meditations.txt,72219,2133,2.95,25.28,1.42,10.98
Middlemarch.txt,321402,9096,2.83,19.64,1.43,8.95
Moby_Dick_Or_The_Whale.txt,214930,4257,1.98,23.23,1.41,10.06
My_Life_Volume_1.txt,219847,10576,4.81,31.94,1.51,14.71
Napoleons_Letters_to_Josephine_1796_1812.txt,97534,2450,2.51,14.26,1.48,7.41
Narrative_of_the_Life_of_Frederick.txt,40991,1340,3.27,19.75,1.4,8.69
Nature.txt,15423,595,3.86,19.79,1.48,9.62
Notes_from_the_Underground.txt,44440,1181,2.66,17.74,1.38,7.65
Oedipus_King_of_Thebes_Translated_into.txt,18584,180,0.97,13.84,1.28,4.9
Oliver_Twist.txt,162278,3793,2.34,17.92,1.38,7.74
On_Liberty.txt,52181,3312,6.35,36.12,1.6,17.37
On_the_Origin_of_Species_By.txt,155823,10341,6.64,30.14,1.61,15.13
On_War.txt,297633,19149,6.43,37.12,1.53,17.0
Paradise_Lost.txt,80369,1062,1.32,43.2,1.36,17.27
Poems_on_various_subjects_religious_and.txt,15458,133,0.86,22.71,1.33,8.98
Pride_and_Prejudice.txt,129358,5290,4.09,18.85,1.46,8.99
Rip_Van_Winkle.txt,8499,269,3.17,25.14,1.42,10.95
Romeo_and_Juliet.txt,26146,176,0.67,12.55,1.3,4.68
Second_Treatise_of_Government.txt,56559,2547,4.5,54.15,1.46,22.79
Sense_and_Sensibility.txt,120819,3994,3.31,21.86,1.45,10.07
Songs_of_Innocence_and_of_Experience.txt,5579,16,0.29,19.71,1.24,6.78
Spensers_The_Faerie_Queene_Book_I.txt,75572,1080,1.43,22.03,1.34,8.78
Symposium.txt,32694,1011,3.09,30.78,1.42,13.16
Tess_of_the_dUrbervilles_A_Pure.txt,152373,3418,2.24,19.44,1.38,8.22
The_Adventures_of_Ferdinand_Count_Fathom.txt,162205,7277,4.49,41.3,1.55,18.8
The_Adventures_of_Roderick_Random.txt,191750,6929,3.61,38.64,1.45,16.62
The_Adventures_of_Tom_Sawyer_Complete.txt,72200,1234,1.71,15.41,1.33,6.11
The_Brothers_Karamazov.txt,357066,7869,2.2,14.64,1.36,6.18
The_Complete_Works_of_William_Shakespeare.txt,969332,9865,1.02,13.74,1.31,5.25
The_Confessions_of_St_Augustine.txt,111993,2096,1.87,30.53,1.33,12.07
The_Count_of_Monte_Cristo.txt,477600,12526,2.62,18.25,1.4,8.1
The_Critique_of_Pure_Reason.txt,209421,19113,9.13,35.58,1.69,18.24
The_divine_comedy.txt,109847,1036,0.94,25.13,1.3,9.5
The_Ethics_of_Aristotle.txt,113998,5141,4.51,39.74,1.45,17.05
The_Expedition_of_Humphry_Clinker.txt,149343,4706,3.15,41.07,1.47,17.74
The_Federalist_Papers.txt,1275,77,6.04,9.68,1.91,10.72
The_Genealogy_of_Morals_The_Complete.txt,55729,2646,4.75,36.16,1.58,17.12
The_History_of_the_Peloponnesian_War.txt,204728,6568,3.21,40.21,1.48,17.58
The_Iliad.txt,190563,2501,1.31,24.93,1.35,10.1
The_Interesting_Narrative_of_the_Life.txt,83002,2491,3.0,29.38,1.38,12.16
The_Legend_of_Sleepy_Hollow.txt,12246,321,2.62,35.1,1.43,14.99
The_Metamorphoses_of_Ovid_Books_I.txt,127891,2601,2.03,23.06,1.4,9.91
The_Odyssey_Rendered_into_English_prose.txt,130597,1640,1.26,29.44,1.28,10.95
The_Prince.txt,50102,1818,3.63,37.83,1.46,16.43
The_Republic.txt,217174,8232,3.79,26.93,1.44,11.9
The_Scarlet_Letter.txt,85039,2572,3.02,23.0,1.47,10.71
The_Secret_Garden.txt,82811,1125,1.36,14.24,1.28,5.11
The_Sorrows_of_Young_Werther.txt,42702,1362,3.19,19.16,1.4,8.36
The_Tragical_History_of_Doctor_Faustus.txt,20455,241,1.18,15.08,1.35,6.27
The_Travels_of_Marco_Polo_Volume.txt,376378,11708,3.11,17.95,1.44,8.44
The_Works_of_Edgar_Allan_Poe.txt,95874,3151,3.29,23.07,1.49,11.05
Through_the_Looking_Glass.txt,31055,339,1.09,14.91,1.29,5.47
Thus_Spake_Zarathustra_A_Book_for.txt,112499,2260,2.01,16.51,1.39,7.3
Twenty_years_after.txt,252304,5111,2.03,15.92,1.36,6.61
Walden_and_On_The_Duty_Of.txt,116520,3212,2.76,28.14,1.38,11.71
War_and_Peace.txt,572177,16074,2.81,18.3,1.41,8.17
White_Nights_and_Other_Stories_The.txt,119755,2747,2.29,17.34,1.36,7.27
Wuthering_Heights.txt,118283,2624,2.22,17.77,1.38,7.58
