book,total_words,common_count,percentage_common,ASL,ASW,FKGL_Score
Adventures_of_Huckleberry_Finn.txt,112859,18534,16.42,19.11,1.23,6.34
Alices_Adventures_in_Wonderland.txt,27627,5679,20.56,17.5,1.29,6.5
Anna_Karenina.txt,356607,72684,20.38,17.16,1.38,7.36
Antiquities_of_the_Jews.txt,548333,114502,20.88,47.58,1.4,19.43
An_Essay_Concerning_Humane_Understanding_Volume.txt,150174,37986,25.29,37.99,1.48,16.73
An_Inquiry_into_the_Nature_and.txt,381698,103619,27.15,32.13,1.54,15.17
Autobiography_of_Benjamin_Franklin.txt,77922,17978,23.07,28.11,1.47,12.74
A_Christmas_Carol_in_Prose_Being.txt,28957,6097,21.06,16.63,1.32,6.45
A_Dolls_House_a_play.txt,27339,4639,16.97,10.1,1.32,3.89
A_Modest_Proposal_For_preventing_the.txt,3420,942,27.54,50.29,1.47,21.35
A_Tale_of_Two_Cities.txt,138731,28548,20.58,18.37,1.37,7.76
Beyond_Good_and_Evil.txt,63242,13904,21.99,35.21,1.61,17.09
Bleak_House.txt,361182,70442,19.5,16.86,1.38,7.23
Candide.txt,36060,7462,20.69,19.63,1.41,8.69
Carmilla.txt,28486,6200,21.77,19.95,1.4,8.68
Common_Sense.txt,22082,5296,23.98,30.62,1.51,14.13
Cranford.txt,71667,14719,20.54,27.0,1.37,11.07
Crime_and_Punishment.txt,207618,41044,19.77,13.72,1.37,5.94
David_Copperfield.txt,362228,68707,18.97,17.86,1.37,7.51
Democracy_in_America_Volume_1.txt,187868,48431,25.78,32.3,1.61,16.05
Don_Quixote.txt,433030,82896,19.14,45.45,1.34,17.96
Dracula.txt,163510,31914,19.52,18.67,1.29,6.87
Emma.txt,161189,33929,21.05,16.85,1.43,7.81
Fables_of_La_Fontaine_a_New.txt,101639,19815,19.5,17.02,1.32,6.6
Faust_part_1_Translated_Into_English.txt,38308,7468,19.49,13.97,1.36,5.91
Frankenstein_Or_The_Modern_Prometheus.txt,78164,17592,22.51,23.24,1.45,10.56
Great_Expectations.txt,189060,35611,18.84,19.46,1.34,7.81
Grimms_Fairy_Tales.txt,103394,19089,18.46,23.22,1.22,7.81
Gullivers_Travels_into_Several_Remote_Nations.txt,105406,26509,25.15,36.93,1.42,15.59
Hamlet.txt,32268,5680,17.6,13.14,1.31,4.94
Hedda_Gabler.txt,30464,5323,17.47,9.73,1.37,4.37
History_of_Tom_Jones_a_Foundling.txt,356777,79954,22.41,29.94,1.43,12.95
How_the_Other_Half_Lives_Studies.txt,82374,19252,23.37,23.15,1.43,10.32
Incidents_in_the_Life_of_a.txt,84010,18330,21.82,16.23,1.33,6.47
Jane_Eyre_An_Autobiography.txt,189327,37096,19.59,19.2,1.36,8.0
Les_Miserables.txt,573637,120332,20.98,16.87,1.41,7.66
Leviathan.txt,213757,43144,20.18,38.21,1.44,16.28
Little_Women.txt,189308,38123,20.14,19.55,1.33,7.75
Little_Women_Or_Meg_Jo_Beth.txt,197644,39614,20.04,21.3,1.34,8.52
Lysistrata.txt,14935,2515,16.84,13.05,1.4,6.02
Meditations.txt,72219,15039,20.82,25.28,1.42,10.98
Middlemarch.txt,321402,67639,21.04,19.64,1.43,8.95
Moby_Dick_Or_The_Whale.txt,214930,42637,19.84,23.23,1.41,10.06
My_Life_Volume_1.txt,219847,50741,23.08,31.94,1.51,14.71
Napoleons_Letters_to_Josephine_1796_1812.txt,97534,18877,19.35,14.26,1.48,7.41
Narrative_of_the_Life_of_Frederick.txt,40991,9174,22.38,19.75,1.4,8.69
Nature.txt,15423,3795,24.61,19.79,1.48,9.62
Notes_from_the_Underground.txt,44440,9010,20.27,17.74,1.38,7.65
Oedipus_King_of_Thebes_Translated_into.txt,18584,3348,18.02,13.84,1.28,4.9
Oliver_Twist.txt,162278,32669,20.13,17.92,1.38,7.74
On_Liberty.txt,52181,13385,25.65,36.12,1.6,17.37
On_the_Origin_of_Species_By.txt,155823,41315,26.51,30.14,1.61,15.13
On_War.txt,297633,77390,26.0,37.12,1.53,17.0
Paradise_Lost.txt,80369,18318,22.79,43.2,1.36,17.27
Poems_on_various_subjects_religious_and.txt,15458,3204,20.73,22.71,1.33,8.98
Pride_and_Prejudice.txt,129358,27436,21.21,18.85,1.46,8.99
Rip_Van_Winkle.txt,8499,1792,21.08,25.14,1.42,10.95
Romeo_and_Juliet.txt,26146,4578,17.51,12.55,1.3,4.68
Second_Treatise_of_Government.txt,56559,13356,23.61,54.15,1.46,22.79
Sense_and_Sensibility.txt,120819,26316,21.78,21.86,1.45,10.07
Songs_of_Innocence_and_of_Experience.txt,5579,1310,23.48,19.71,1.24,6.78
Spensers_The_Faerie_Queene_Book_I.txt,75572,12152,16.08,22.03,1.34,8.78
Symposium.txt,32694,6803,20.81,30.78,1.42,13.16
Tess_of_the_dUrbervilles_A_Pure.txt,152373,31501,20.67,19.44,1.38,8.22
The_Adventures_of_Ferdinand_Count_Fathom.txt,162205,34869,21.5,41.3,1.55,18.8
The_Adventures_of_Roderick_Random.txt,191750,40338,21.04,38.64,1.45,16.62
The_Adventures_of_Tom_Sawyer_Complete.txt,72200,13572,18.8,15.41,1.33,6.11
The_Brothers_Karamazov.txt,357066,70006,19.61,14.64,1.36,6.18
The_Complete_Works_of_William_Shakespeare.txt,969332,177772,18.34,13.74,1.31,5.25
The_Confessions_of_St_Augustine.txt,111993,23252,20.76,30.53,1.33,12.07
The_Count_of_Monte_Cristo.txt,477600,97847,20.49,18.25,1.4,8.1
The_Critique_of_Pure_Reason.txt,209421,48072,22.95,35.58,1.69,18.24
The_divine_comedy.txt,109847,20794,18.93,25.13,1.3,9.5
The_Ethics_of_Aristotle.txt,113998,26664,23.39,39.74,1.45,17.05
The_Expedition_of_Humphry_Clinker.txt,149343,30963,20.73,41.07,1.47,17.74
The_Federalist_Papers.txt,1275,183,14.35,9.68,1.91,10.72
The_Genealogy_of_Morals_The_Complete.txt,55729,11952,21.45,36.16,1.58,17.12
The_History_of_the_Peloponnesian_War.txt,204728,48455,23.67,40.21,1.48,17.58
The_Iliad.txt,190563,39819,20.9,24.93,1.35,10.1
The_Interesting_Narrative_of_the_Life.txt,83002,18577,22.38,29.38,1.38,12.16
The_Legend_of_Sleepy_Hollow.txt,12246,2651,21.65,35.1,1.43,14.99
The_Metamorphoses_of_Ovid_Books_I.txt,127891,25873,20.23,23.06,1.4,9.91
The_Odyssey_Rendered_into_English_prose.txt,130597,24651,18.88,29.44,1.28,10.95
The_Prince.txt,50102,11598,23.15,37.83,1.46,16.43
The_Republic.txt,217174,48707,22.43,26.93,1.44,11.9
The_Scarlet_Letter.txt,85039,18690,21.98,23.0,1.47,10.71
The_Secret_Garden.txt,82811,17121,20.67,14.24,1.28,5.11
The_Sorrows_of_Young_Werther.txt,42702,9395,22.0,19.16,1.4,8.36
The_Tragical_History_of_Doctor_Faustus.txt,20455,3693,18.05,15.08,1.35,6.27
The_Travels_of_Marco_Polo_Volume.txt,376378,70966,18.85,17.95,1.44,8.44
The_Works_of_Edgar_Allan_Poe.txt,95874,20510,21.39,23.07,1.49,11.05
Through_the_Looking_Glass.txt,31055,6169,19.86,14.91,1.29,5.47
Thus_Spake_Zarathustra_A_Book_for.txt,112499,21001,18.67,16.51,1.39,7.3
Twenty_years_after.txt,252304,47771,18.93,15.92,1.36,6.61
Walden_and_On_The_Duty_Of.txt,116520,25580,21.95,28.14,1.38,11.71
War_and_Peace.txt,572177,129287,22.6,18.3,1.41,8.17
White_Nights_and_Other_Stories_The.txt,119755,23857,19.92,17.34,1.36,7.27
Wuthering_Heights.txt,118283,22782,19.26,17.77,1.38,7.58
