book,total_words,common_count,percentage_common,ASL,ASW,FKGL_Score
Adventures_of_Huckleberry_Finn.txt,112859,73645,65.25,19.11,1.23,6.34
Alices_Adventures_in_Wonderland.txt,27627,16212,58.68,17.5,1.29,6.5
Anna_Karenina.txt,356607,213612,59.9,17.16,1.38,7.36
Antiquities_of_the_Jews.txt,548333,345369,62.99,47.58,1.4,19.43
An_Essay_Concerning_Humane_Understanding_Volume.txt,150174,91251,60.76,37.99,1.48,16.73
An_Inquiry_into_the_Nature_and.txt,381698,216792,56.8,32.13,1.54,15.17
Autobiography_of_Benjamin_Franklin.txt,77922,46473,59.64,28.11,1.47,12.74
A_Christmas_Carol_in_Prose_Being.txt,28957,18526,63.98,16.63,1.32,6.45
A_Dolls_House_a_play.txt,27339,17592,64.35,10.1,1.32,3.89
A_Modest_Proposal_For_preventing_the.txt,3420,1940,56.73,50.29,1.47,21.35
A_Tale_of_Two_Cities.txt,138731,83641,60.29,18.37,1.37,7.76
Beyond_Good_and_Evil.txt,63242,35409,55.99,35.21,1.61,17.09
Bleak_House.txt,361182,221746,61.39,16.86,1.38,7.23
Candide.txt,36060,21963,60.91,19.63,1.41,8.69
Carmilla.txt,28486,17315,60.78,19.95,1.4,8.68
Common_Sense.txt,22082,13129,59.46,30.62,1.51,14.13
Cranford.txt,71667,45133,62.98,27.0,1.37,11.07
Crime_and_Punishment.txt,207618,125804,60.59,13.72,1.37,5.94
David_Copperfield.txt,362228,225715,62.31,17.86,1.37,7.51
Democracy_in_America_Volume_1.txt,187868,104659,55.71,32.3,1.61,16.05
Don_Quixote.txt,433030,273916,63.26,45.45,1.34,17.96
Dracula.txt,163510,107775,65.91,18.67,1.29,6.87
Emma.txt,161189,99316,61.61,16.85,1.43,7.81
Fables_of_La_Fontaine_a_New.txt,101639,61273,60.28,17.02,1.32,6.6
Faust_part_1_Translated_Into_English.txt,38308,21616,56.43,13.97,1.36,5.91
Frankenstein_Or_The_Modern_Prometheus.txt,78164,47019,60.15,23.24,1.45,10.56
Great_Expectations.txt,189060,119258,63.08,19.46,1.34,7.81
Grimms_Fairy_Tales.txt,103394,70226,67.92,23.22,1.22,7.81
Gullivers_Travels_into_Several_Remote_Nations.txt,105406,63084,59.85,36.93,1.42,15.59
Hamlet.txt,32268,19638,60.86,13.14,1.31,4.94
Hedda_Gabler.txt,30464,19022,62.44,9.73,1.37,4.37
History_of_Tom_Jones_a_Foundling.txt,356777,214655,60.17,29.94,1.43,12.95
How_the_Other_Half_Lives_Studies.txt,82374,49197,59.72,23.15,1.43,10.32
Incidents_in_the_Life_of_a.txt,84010,53794,64.03,16.23,1.33,6.47
Jane_Eyre_An_Autobiography.txt,189327,114668,60.57,19.2,1.36,8.0
Les_Miserables.txt,573637,331776,57.84,16.87,1.41,7.66
Leviathan.txt,213757,128096,59.93,38.21,1.44,16.28
Little_Women.txt,189308,114862,60.67,19.55,1.33,7.75
Little_Women_Or_Meg_Jo_Beth.txt,197644,128136,64.83,21.3,1.34,8.52
Lysistrata.txt,14935,9215,61.7,13.05,1.4,6.02
Meditations.txt,72219,45579,63.11,25.28,1.42,10.98
Middlemarch.txt,321402,191765,59.67,19.64,1.43,8.95
Moby_Dick_Or_The_Whale.txt,214930,124120,57.75,23.23,1.41,10.06
My_Life_Volume_1.txt,219847,129584,58.94,31.94,1.51,14.71
Napoleons_Letters_to_Josephine_1796_1812.txt,97534,50831,52.12,14.26,1.48,7.41
Narrative_of_the_Life_of_Frederick.txt,40991,25325,61.78,19.75,1.4,8.69
Nature.txt,15423,9115,59.1,19.79,1.48,9.62
Notes_from_the_Underground.txt,44440,28166,63.38,17.74,1.38,7.65
Oedipus_King_of_Thebes_Translated_into.txt,18584,11427,61.49,13.84,1.28,4.9
Oliver_Twist.txt,162278,94090,57.98,17.92,1.38,7.74
On_Liberty.txt,52181,29879,57.26,36.12,1.6,17.37
On_the_Origin_of_Species_By.txt,155823,84598,54.29,30.14,1.61,15.13
On_War.txt,297633,173560,58.31,37.12,1.53,17.0
Paradise_Lost.txt,80369,44762,55.7,43.2,1.36,17.27
Poems_on_various_subjects_religious_and.txt,15458,8737,56.52,22.71,1.33,8.98
Pride_and_Prejudice.txt,129358,77790,60.14,18.85,1.46,8.99
Rip_Van_Winkle.txt,8499,4860,57.18,25.14,1.42,10.95
Romeo_and_Juliet.txt,26146,15861,60.66,12.55,1.3,4.68
Second_Treatise_of_Government.txt,56559,34439,60.89,54.15,1.46,22.79
Sense_and_Sensibility.txt,120819,72955,60.38,21.86,1.45,10.07
Songs_of_Innocence_and_of_Experience.txt,5579,3318,59.47,19.71,1.24,6.78
Spensers_The_Faerie_Queene_Book_I.txt,75572,38396,50.81,22.03,1.34,8.78
Symposium.txt,32694,21085,64.49,30.78,1.42,13.16
Tess_of_the_dUrbervilles_A_Pure.txt,152373,90356,59.3,19.44,1.38,8.22
The_Adventures_of_Ferdinand_Count_Fathom.txt,162205,92076,56.77,41.3,1.55,18.8
The_Adventures_of_Roderick_Random.txt,191750,114867,59.9,38.64,1.45,16.62
The_Adventures_of_Tom_Sawyer_Complete.txt,72200,42958,59.5,15.41,1.33,6.11
The_Brothers_Karamazov.txt,357066,216163,60.54,14.64,1.36,6.18
The_Complete_Works_of_William_Shakespeare.txt,969332,585633,60.42,13.74,1.31,5.25
The_Confessions_of_St_Augustine.txt,111993,72491,64.73,30.53,1.33,12.07
The_Count_of_Monte_Cristo.txt,477600,269845,56.5,18.25,1.4,8.1
The_Critique_of_Pure_Reason.txt,209421,117272,56.0,35.58,1.69,18.24
The_divine_comedy.txt,109847,62726,57.1,25.13,1.3,9.5
The_Ethics_of_Aristotle.txt,113998,69594,61.05,39.74,1.45,17.05
The_Expedition_of_Humphry_Clinker.txt,149343,88302,59.13,41.07,1.47,17.74
The_Federalist_Papers.txt,1275,337,26.43,9.68,1.91,10.72
The_Genealogy_of_Morals_The_Complete.txt,55729,31568,56.65,36.16,1.58,17.12
The_History_of_the_Peloponnesian_War.txt,204728,120565,58.89,40.21,1.48,17.58
The_Iliad.txt,190563,100653,52.82,24.93,1.35,10.1
The_Interesting_Narrative_of_the_Life.txt,83002,52834,63.65,29.38,1.38,12.16
The_Legend_of_Sleepy_Hollow.txt,12246,7008,57.23,35.1,1.43,14.99
The_Metamorphoses_of_Ovid_Books_I.txt,127891,71653,56.03,23.06,1.4,9.91
The_Odyssey_Rendered_into_English_prose.txt,130597,86310,66.09,29.44,1.28,10.95
The_Prince.txt,50102,29867,59.61,37.83,1.46,16.43
The_Republic.txt,217174,136855,63.02,26.93,1.44,11.9
The_Scarlet_Letter.txt,85039,48255,56.74,23.0,1.47,10.71
The_Secret_Garden.txt,82811,56021,67.65,14.24,1.28,5.11
The_Sorrows_of_Young_Werther.txt,42702,26645,62.4,19.16,1.4,8.36
The_Tragical_History_of_Doctor_Faustus.txt,20455,11443,55.94,15.08,1.35,6.27
The_Travels_of_Marco_Polo_Volume.txt,376378,192634,51.18,17.95,1.44,8.44
The_Works_of_Edgar_Allan_Poe.txt,95874,55294,57.67,23.07,1.49,11.05
Through_the_Looking_Glass.txt,31055,17782,57.26,14.91,1.29,5.47
Thus_Spake_Zarathustra_A_Book_for.txt,112499,66709,59.3,16.51,1.39,7.3
Twenty_years_after.txt,252304,143017,56.68,15.92,1.36,6.61
Walden_and_On_The_Duty_Of.txt,116520,72264,62.02,28.14,1.38,11.71
War_and_Peace.txt,572177,331870,58.0,18.3,1.41,8.17
White_Nights_and_Other_Stories_The.txt,119755,78496,65.55,17.34,1.36,7.27
Wuthering_Heights.txt,118283,69331,58.61,17.77,1.38,7.58
