book,total_words,common_count,percentage_common
Adventures_of_Huckleberry_Finn.txt,112859,93146,82.53
Alices_Adventures_in_Wonderland.txt,27627,22248,80.53
Anna_Karenina.txt,356607,296023,83.01
Antiquities_of_the_Jews.txt,548333,476326,86.87
An_Essay_Concerning_Humane_Understanding_Volume.txt,150174,136603,90.96
An_Inquiry_into_the_Nature_and.txt,381698,344818,90.34
Autobiography_of_Benjamin_Franklin.txt,77922,67926,87.17
A_Christmas_Carol_in_Prose_Being.txt,28957,25197,87.02
A_Dolls_House_a_play.txt,27339,22788,83.35
A_Modest_Proposal_For_preventing_the.txt,3420,3001,87.75
A_Tale_of_Two_Cities.txt,138731,115237,83.07
Beyond_Good_and_Evil.txt,63242,52513,83.04
Bleak_House.txt,361182,301019,83.34
Candide.txt,36060,30366,84.21
Carmilla.txt,28486,24321,85.38
Common_Sense.txt,22082,19448,88.07
Cranford.txt,71667,61471,85.77
Crime_and_Punishment.txt,207618,171671,82.69
David_Copperfield.txt,362228,302924,83.63
Democracy_in_America_Volume_1.txt,187868,166387,88.57
Don_Quixote.txt,433030,365843,84.48
Dracula.txt,163510,142616,87.22
Emma.txt,161189,137894,85.55
Fables_of_La_Fontaine_a_New.txt,101639,82757,81.42
Faust_part_1_Translated_Into_English.txt,38308,29878,77.99
Frankenstein_Or_The_Modern_Prometheus.txt,78164,67392,86.22
Great_Expectations.txt,189060,158963,84.08
Grimms_Fairy_Tales.txt,103394,90228,87.27
Gullivers_Travels_into_Several_Remote_Nations.txt,105406,92796,88.04
Hamlet.txt,32268,25742,79.78
Hedda_Gabler.txt,30464,24903,81.75
History_of_Tom_Jones_a_Foundling.txt,356777,305704,85.68
How_the_Other_Half_Lives_Studies.txt,82374,71064,86.27
Incidents_in_the_Life_of_a.txt,84010,74133,88.24
Jane_Eyre_An_Autobiography.txt,189327,156353,82.58
Les_Miserables.txt,573637,466705,81.36
Leviathan.txt,213757,180258,84.33
Little_Women.txt,189308,157426,83.16
Little_Women_Or_Meg_Jo_Beth.txt,197644,172804,87.43
Lysistrata.txt,14935,12007,80.4
Meditations.txt,72219,62856,87.04
Middlemarch.txt,321402,268593,83.57
Moby_Dick_Or_The_Whale.txt,214930,171283,79.69
My_Life_Volume_1.txt,219847,191098,86.92
Napoleons_Letters_to_Josephine_1796_1812.txt,97534,72207,74.03
Narrative_of_the_Life_of_Frederick.txt,40991,35894,87.57
Nature.txt,15423,13543,87.81
Notes_from_the_Underground.txt,44440,38396,86.4
Oedipus_King_of_Thebes_Translated_into.txt,18584,15044,80.95
Oliver_Twist.txt,162278,130652,80.51
On_Liberty.txt,52181,46625,89.35
On_the_Origin_of_Species_By.txt,155823,136385,87.53
On_War.txt,297633,270239,90.8
Paradise_Lost.txt,80369,64550,80.32
Poems_on_various_subjects_religious_and.txt,15458,12125,78.44
Pride_and_Prejudice.txt,129358,110654,85.54
Rip_Van_Winkle.txt,8499,6942,81.68
Romeo_and_Juliet.txt,26146,20662,79.03
Second_Treatise_of_Government.txt,56559,50466,89.23
Sense_and_Sensibility.txt,120819,103421,85.6
Songs_of_Innocence_and_of_Experience.txt,5579,4658,83.49
Spensers_The_Faerie_Queene_Book_I.txt,75572,51790,68.53
Symposium.txt,32694,28951,88.55
Tess_of_the_dUrbervilles_A_Pure.txt,152373,125391,82.29
The_Adventures_of_Ferdinand_Count_Fathom.txt,162205,134477,82.91
The_Adventures_of_Roderick_Random.txt,191750,162512,84.75
The_Adventures_of_Tom_Sawyer_Complete.txt,72200,57778,80.02
The_Brothers_Karamazov.txt,357066,294503,82.48
The_Complete_Works_of_William_Shakespeare.txt,969332,775283,79.98
The_Confessions_of_St_Augustine.txt,111993,98399,87.86
The_Count_of_Monte_Cristo.txt,477600,380449,79.66
The_Critique_of_Pure_Reason.txt,209421,184558,88.13
The_divine_comedy.txt,109847,84746,77.15
The_Ethics_of_Aristotle.txt,113998,101429,88.97
The_Expedition_of_Humphry_Clinker.txt,149343,124195,83.16
The_Federalist_Papers.txt,1275,597,46.82
The_Genealogy_of_Morals_The_Complete.txt,55729,46261,83.01
The_History_of_the_Peloponnesian_War.txt,204728,175747,85.84
The_Iliad.txt,190563,143426,75.26
The_Interesting_Narrative_of_the_Life.txt,83002,74147,89.33
The_Legend_of_Sleepy_Hollow.txt,12246,9985,81.54
The_Metamorphoses_of_Ovid_Books_I.txt,127891,100304,78.43
The_Odyssey_Rendered_into_English_prose.txt,130597,112781,86.36
The_Prince.txt,50102,43335,86.49
The_Republic.txt,217174,194012,89.33
The_Scarlet_Letter.txt,85039,69552,81.79
The_Secret_Garden.txt,82811,74280,89.7
The_Sorrows_of_Young_Werther.txt,42702,37454,87.71
The_Tragical_History_of_Doctor_Faustus.txt,20455,15514,75.84
The_Travels_of_Marco_Polo_Volume.txt,376378,275616,73.23
The_Works_of_Edgar_Allan_Poe.txt,95874,79011,82.41
Through_the_Looking_Glass.txt,31055,24295,78.23
Thus_Spake_Zarathustra_A_Book_for.txt,112499,90190,80.17
Twenty_years_after.txt,252304,196067,77.71
Walden_and_On_The_Duty_Of.txt,116520,101114,86.78
War_and_Peace.txt,572177,477605,83.47
White_Nights_and_Other_Stories_The.txt,119755,105206,87.85
Wuthering_Heights.txt,118283,94857,80.19
