book,total_words,common_count,percentage_common
Adventures_of_Huckleberry_Finn.txt,112859,946,0.84
Alices_Adventures_in_Wonderland.txt,27627,354,1.28
Anna_Karenina.txt,356607,9520,2.67
Antiquities_of_the_Jews.txt,548333,14438,2.63
An_Essay_Concerning_Humane_Understanding_Volume.txt,150174,7099,4.73
An_Inquiry_into_the_Nature_and.txt,381698,23310,6.11
Autobiography_of_Benjamin_Franklin.txt,77922,3427,4.4
A_Christmas_Carol_in_Prose_Being.txt,28957,541,1.87
A_Dolls_House_a_play.txt,27339,554,2.03
A_Modest_Proposal_For_preventing_the.txt,3420,116,3.39
A_Tale_of_Two_Cities.txt,138731,2946,2.12
Beyond_Good_and_Evil.txt,63242,3090,4.89
Bleak_House.txt,361182,8469,2.34
Candide.txt,36060,884,2.45
Carmilla.txt,28486,800,2.81
Common_Sense.txt,22082,997,4.51
Cranford.txt,71667,1554,2.17
Crime_and_Punishment.txt,207618,4626,2.23
David_Copperfield.txt,362228,8098,2.24
Democracy_in_America_Volume_1.txt,187868,13249,7.05
Don_Quixote.txt,433030,8162,1.88
Dracula.txt,163510,2692,1.65
Emma.txt,161189,4541,2.82
Fables_of_La_Fontaine_a_New.txt,101639,1397,1.37
Faust_part_1_Translated_Into_English.txt,38308,730,1.91
Frankenstein_Or_The_Modern_Prometheus.txt,78164,2696,3.45
Great_Expectations.txt,189060,4006,2.12
Grimms_Fairy_Tales.txt,103394,849,0.82
Gullivers_Travels_into_Several_Remote_Nations.txt,105406,3072,2.91
Hamlet.txt,32268,350,1.08
Hedda_Gabler.txt,30464,542,1.78
History_of_Tom_Jones_a_Foundling.txt,356777,10596,2.97
How_the_Other_Half_Lives_Studies.txt,82374,2583,3.14
Incidents_in_the_Life_of_a.txt,84010,1897,2.26
Jane_Eyre_An_Autobiography.txt,189327,4425,2.34
Les_Miserables.txt,573637,14098,2.46
Leviathan.txt,213757,7812,3.65
Little_Women.txt,189308,3170,1.67
Little_Women_Or_Meg_Jo_Beth.txt,197644,3585,1.81
Lysistrata.txt,14935,254,1.7
Meditations.txt,72219,2133,2.95
Middlemarch.txt,321402,9096,2.83
Moby_Dick_Or_The_Whale.txt,214930,4257,1.98
My_Life_Volume_1.txt,219847,10576,4.81
Napoleons_Letters_to_Josephine_1796_1812.txt,97534,2450,2.51
Narrative_of_the_Life_of_Frederick.txt,40991,1340,3.27
Nature.txt,15423,595,3.86
Notes_from_the_Underground.txt,44440,1181,2.66
Oedipus_King_of_Thebes_Translated_into.txt,18584,180,0.97
Oliver_Twist.txt,162278,3793,2.34
On_Liberty.txt,52181,3312,6.35
On_the_Origin_of_Species_By.txt,155823,10341,6.64
On_War.txt,297633,19149,6.43
Paradise_Lost.txt,80369,1062,1.32
Poems_on_various_subjects_religious_and.txt,15458,133,0.86
Pride_and_Prejudice.txt,129358,5290,4.09
Rip_Van_Winkle.txt,8499,269,3.17
Romeo_and_Juliet.txt,26146,176,0.67
Second_Treatise_of_Government.txt,56559,2547,4.5
Sense_and_Sensibility.txt,120819,3994,3.31
Songs_of_Innocence_and_of_Experience.txt,5579,16,0.29
Spensers_The_Faerie_Queene_Book_I.txt,75572,1080,1.43
Symposium.txt,32694,1011,3.09
Tess_of_the_dUrbervilles_A_Pure.txt,152373,3418,2.24
The_Adventures_of_Ferdinand_Count_Fathom.txt,162205,7277,4.49
The_Adventures_of_Roderick_Random.txt,191750,6929,3.61
The_Adventures_of_Tom_Sawyer_Complete.txt,72200,1234,1.71
The_Brothers_Karamazov.txt,357066,7869,2.2
The_Complete_Works_of_William_Shakespeare.txt,969332,9865,1.02
The_Confessions_of_St_Augustine.txt,111993,2096,1.87
The_Count_of_Monte_Cristo.txt,477600,12526,2.62
The_Critique_of_Pure_Reason.txt,209421,19113,9.13
The_divine_comedy.txt,109847,1036,0.94
The_Ethics_of_Aristotle.txt,113998,5141,4.51
The_Expedition_of_Humphry_Clinker.txt,149343,4706,3.15
The_Federalist_Papers.txt,1275,77,6.04
The_Genealogy_of_Morals_The_Complete.txt,55729,2646,4.75
The_History_of_the_Peloponnesian_War.txt,204728,6568,3.21
The_Iliad.txt,190563,2501,1.31
The_Interesting_Narrative_of_the_Life.txt,83002,2491,3.0
The_Legend_of_Sleepy_Hollow.txt,12246,321,2.62
The_Metamorphoses_of_Ovid_Books_I.txt,127891,2601,2.03
The_Odyssey_Rendered_into_English_prose.txt,130597,1640,1.26
The_Prince.txt,50102,1818,3.63
The_Republic.txt,217174,8232,3.79
The_Scarlet_Letter.txt,85039,2572,3.02
The_Secret_Garden.txt,82811,1125,1.36
The_Sorrows_of_Young_Werther.txt,42702,1362,3.19
The_Tragical_History_of_Doctor_Faustus.txt,20455,241,1.18
The_Travels_of_Marco_Polo_Volume.txt,376378,11708,3.11
The_Works_of_Edgar_Allan_Poe.txt,95874,3151,3.29
Through_the_Looking_Glass.txt,31055,339,1.09
Thus_Spake_Zarathustra_A_Book_for.txt,112499,2260,2.01
Twenty_years_after.txt,252304,5111,2.03
Walden_and_On_The_Duty_Of.txt,116520,3212,2.76
War_and_Peace.txt,572177,16074,2.81
White_Nights_and_Other_Stories_The.txt,119755,2747,2.29
Wuthering_Heights.txt,118283,2624,2.22
