book,total_words,common_count,percentage_common
Adventures_of_Huckleberry_Finn.txt,112859,18534,16.42
Alices_Adventures_in_Wonderland.txt,27627,5679,20.56
Anna_Karenina.txt,356607,72684,20.38
Antiquities_of_the_Jews.txt,548333,114502,20.88
An_Essay_Concerning_Humane_Understanding_Volume.txt,150174,37986,25.29
An_Inquiry_into_the_Nature_and.txt,381698,103619,27.15
Autobiography_of_Benjamin_Franklin.txt,77922,17978,23.07
A_Christmas_Carol_in_Prose_Being.txt,28957,6097,21.06
A_Dolls_House_a_play.txt,27339,4639,16.97
A_Modest_Proposal_For_preventing_the.txt,3420,942,27.54
A_Tale_of_Two_Cities.txt,138731,28548,20.58
Beyond_Good_and_Evil.txt,63242,13904,21.99
Bleak_House.txt,361182,70442,19.5
Candide.txt,36060,7462,20.69
Carmilla.txt,28486,6200,21.77
Common_Sense.txt,22082,5296,23.98
Cranford.txt,71667,14719,20.54
Crime_and_Punishment.txt,207618,41044,19.77
David_Copperfield.txt,362228,68707,18.97
Democracy_in_America_Volume_1.txt,187868,48431,25.78
Don_Quixote.txt,433030,82896,19.14
Dracula.txt,163510,31914,19.52
Emma.txt,161189,33929,21.05
Fables_of_La_Fontaine_a_New.txt,101639,19815,19.5
Faust_part_1_Translated_Into_English.txt,38308,7468,19.49
Frankenstein_Or_The_Modern_Prometheus.txt,78164,17592,22.51
Great_Expectations.txt,189060,35611,18.84
Grimms_Fairy_Tales.txt,103394,19089,18.46
Gullivers_Travels_into_Several_Remote_Nations.txt,105406,26509,25.15
Hamlet.txt,32268,5680,17.6
Hedda_Gabler.txt,30464,5323,17.47
History_of_Tom_Jones_a_Foundling.txt,356777,79954,22.41
How_the_Other_Half_Lives_Studies.txt,82374,19252,23.37
Incidents_in_the_Life_of_a.txt,84010,18330,21.82
Jane_Eyre_An_Autobiography.txt,189327,37096,19.59
Les_Miserables.txt,573637,120332,20.98
Leviathan.txt,213757,43144,20.18
Little_Women.txt,189308,38123,20.14
Little_Women_Or_Meg_Jo_Beth.txt,197644,39614,20.04
Lysistrata.txt,14935,2515,16.84
Meditations.txt,72219,15039,20.82
Middlemarch.txt,321402,67639,21.04
Moby_Dick_Or_The_Whale.txt,214930,42637,19.84
My_Life_Volume_1.txt,219847,50741,23.08
Napoleons_Letters_to_Josephine_1796_1812.txt,97534,18877,19.35
Narrative_of_the_Life_of_Frederick.txt,40991,9174,22.38
Nature.txt,15423,3795,24.61
Notes_from_the_Underground.txt,44440,9010,20.27
Oedipus_King_of_Thebes_Translated_into.txt,18584,3348,18.02
Oliver_Twist.txt,162278,32669,20.13
On_Liberty.txt,52181,13385,25.65
On_the_Origin_of_Species_By.txt,155823,41315,26.51
On_War.txt,297633,77390,26.0
Paradise_Lost.txt,80369,18318,22.79
Poems_on_various_subjects_religious_and.txt,15458,3204,20.73
Pride_and_Prejudice.txt,129358,27436,21.21
Rip_Van_Winkle.txt,8499,1792,21.08
Romeo_and_Juliet.txt,26146,4578,17.51
Second_Treatise_of_Government.txt,56559,13356,23.61
Sense_and_Sensibility.txt,120819,26316,21.78
Songs_of_Innocence_and_of_Experience.txt,5579,1310,23.48
Spensers_The_Faerie_Queene_Book_I.txt,75572,12152,16.08
Symposium.txt,32694,6803,20.81
Tess_of_the_dUrbervilles_A_Pure.txt,152373,31501,20.67
The_Adventures_of_Ferdinand_Count_Fathom.txt,162205,34869,21.5
The_Adventures_of_Roderick_Random.txt,191750,40338,21.04
The_Adventures_of_Tom_Sawyer_Complete.txt,72200,13572,18.8
The_Brothers_Karamazov.txt,357066,70006,19.61
The_Complete_Works_of_William_Shakespeare.txt,969332,177772,18.34
The_Confessions_of_St_Augustine.txt,111993,23252,20.76
The_Count_of_Monte_Cristo.txt,477600,97847,20.49
The_Critique_of_Pure_Reason.txt,209421,48072,22.95
The_divine_comedy.txt,109847,20794,18.93
The_Ethics_of_Aristotle.txt,113998,26664,23.39
The_Expedition_of_Humphry_Clinker.txt,149343,30963,20.73
The_Federalist_Papers.txt,1275,183,14.35
The_Genealogy_of_Morals_The_Complete.txt,55729,11952,21.45
The_History_of_the_Peloponnesian_War.txt,204728,48455,23.67
The_Iliad.txt,190563,39819,20.9
The_Interesting_Narrative_of_the_Life.txt,83002,18577,22.38
The_Legend_of_Sleepy_Hollow.txt,12246,2651,21.65
The_Metamorphoses_of_Ovid_Books_I.txt,127891,25873,20.23
The_Odyssey_Rendered_into_English_prose.txt,130597,24651,18.88
The_Prince.txt,50102,11598,23.15
The_Republic.txt,217174,48707,22.43
The_Scarlet_Letter.txt,85039,18690,21.98
The_Secret_Garden.txt,82811,17121,20.67
The_Sorrows_of_Young_Werther.txt,42702,9395,22.0
The_Tragical_History_of_Doctor_Faustus.txt,20455,3693,18.05
The_Travels_of_Marco_Polo_Volume.txt,376378,70966,18.85
The_Works_of_Edgar_Allan_Poe.txt,95874,20510,21.39
Through_the_Looking_Glass.txt,31055,6169,19.86
Thus_Spake_Zarathustra_A_Book_for.txt,112499,21001,18.67
Twenty_years_after.txt,252304,47771,18.93
Walden_and_On_The_Duty_Of.txt,116520,25580,21.95
War_and_Peace.txt,572177,129287,22.6
White_Nights_and_Other_Stories_The.txt,119755,23857,19.92
Wuthering_Heights.txt,118283,22782,19.26
