book,total_words,common_count,percentage_common
Adventures_of_Huckleberry_Finn.txt,112859,73645,65.25
Alices_Adventures_in_Wonderland.txt,27627,16212,58.68
Anna_Karenina.txt,356607,213612,59.9
Antiquities_of_the_Jews.txt,548333,345369,62.99
An_Essay_Concerning_Humane_Understanding_Volume.txt,150174,91251,60.76
An_Inquiry_into_the_Nature_and.txt,381698,216792,56.8
Autobiography_of_Benjamin_Franklin.txt,77922,46473,59.64
A_Christmas_Carol_in_Prose_Being.txt,28957,18526,63.98
A_Dolls_House_a_play.txt,27339,17592,64.35
A_Modest_Proposal_For_preventing_the.txt,3420,1940,56.73
A_Tale_of_Two_Cities.txt,138731,83641,60.29
Beyond_Good_and_Evil.txt,63242,35409,55.99
Bleak_House.txt,361182,221746,61.39
Candide.txt,36060,21963,60.91
Carmilla.txt,28486,17315,60.78
Common_Sense.txt,22082,13129,59.46
Cranford.txt,71667,45133,62.98
Crime_and_Punishment.txt,207618,125804,60.59
David_Copperfield.txt,362228,225715,62.31
Democracy_in_America_Volume_1.txt,187868,104659,55.71
Don_Quixote.txt,433030,273916,63.26
Dracula.txt,163510,107775,65.91
Emma.txt,161189,99316,61.61
Fables_of_La_Fontaine_a_New.txt,101639,61273,60.28
Faust_part_1_Translated_Into_English.txt,38308,21616,56.43
Frankenstein_Or_The_Modern_Prometheus.txt,78164,47019,60.15
Great_Expectations.txt,189060,119258,63.08
Grimms_Fairy_Tales.txt,103394,70226,67.92
Gullivers_Travels_into_Several_Remote_Nations.txt,105406,63084,59.85
Hamlet.txt,32268,19638,60.86
Hedda_Gabler.txt,30464,19022,62.44
History_of_Tom_Jones_a_Foundling.txt,356777,214655,60.17
How_the_Other_Half_Lives_Studies.txt,82374,49197,59.72
Incidents_in_the_Life_of_a.txt,84010,53794,64.03
Jane_Eyre_An_Autobiography.txt,189327,114668,60.57
Les_Miserables.txt,573637,331776,57.84
Leviathan.txt,213757,128096,59.93
Little_Women.txt,189308,114862,60.67
Little_Women_Or_Meg_Jo_Beth.txt,197644,128136,64.83
Lysistrata.txt,14935,9215,61.7
Meditations.txt,72219,45579,63.11
Middlemarch.txt,321402,191765,59.67
Moby_Dick_Or_The_Whale.txt,214930,124120,57.75
My_Life_Volume_1.txt,219847,129584,58.94
Napoleons_Letters_to_Josephine_1796_1812.txt,97534,50831,52.12
Narrative_of_the_Life_of_Frederick.txt,40991,25325,61.78
Nature.txt,15423,9115,59.1
Notes_from_the_Underground.txt,44440,28166,63.38
Oedipus_King_of_Thebes_Translated_into.txt,18584,11427,61.49
Oliver_Twist.txt,162278,94090,57.98
On_Liberty.txt,52181,29879,57.26
On_the_Origin_of_Species_By.txt,155823,84598,54.29
On_War.txt,297633,173560,58.31
Paradise_Lost.txt,80369,44762,55.7
Poems_on_various_subjects_religious_and.txt,15458,8737,56.52
Pride_and_Prejudice.txt,129358,77790,60.14
Rip_Van_Winkle.txt,8499,4860,57.18
Romeo_and_Juliet.txt,26146,15861,60.66
Second_Treatise_of_Government.txt,56559,34439,60.89
Sense_and_Sensibility.txt,120819,72955,60.38
Songs_of_Innocence_and_of_Experience.txt,5579,3318,59.47
Spensers_The_Faerie_Queene_Book_I.txt,75572,38396,50.81
Symposium.txt,32694,21085,64.49
Tess_of_the_dUrbervilles_A_Pure.txt,152373,90356,59.3
The_Adventures_of_Ferdinand_Count_Fathom.txt,162205,92076,56.77
The_Adventures_of_Roderick_Random.txt,191750,114867,59.9
The_Adventures_of_Tom_Sawyer_Complete.txt,72200,42958,59.5
The_Brothers_Karamazov.txt,357066,216163,60.54
The_Complete_Works_of_William_Shakespeare.txt,969332,585633,60.42
The_Confessions_of_St_Augustine.txt,111993,72491,64.73
The_Count_of_Monte_Cristo.txt,477600,269845,56.5
The_Critique_of_Pure_Reason.txt,209421,117272,56.0
The_divine_comedy.txt,109847,62726,57.1
The_Ethics_of_Aristotle.txt,113998,69594,61.05
The_Expedition_of_Humphry_Clinker.txt,149343,88302,59.13
The_Federalist_Papers.txt,1275,337,26.43
The_Genealogy_of_Morals_The_Complete.txt,55729,31568,56.65
The_History_of_the_Peloponnesian_War.txt,204728,120565,58.89
The_Iliad.txt,190563,100653,52.82
The_Interesting_Narrative_of_the_Life.txt,83002,52834,63.65
The_Legend_of_Sleepy_Hollow.txt,12246,7008,57.23
The_Metamorphoses_of_Ovid_Books_I.txt,127891,71653,56.03
The_Odyssey_Rendered_into_English_prose.txt,130597,86310,66.09
The_Prince.txt,50102,29867,59.61
The_Republic.txt,217174,136855,63.02
The_Scarlet_Letter.txt,85039,48255,56.74
The_Secret_Garden.txt,82811,56021,67.65
The_Sorrows_of_Young_Werther.txt,42702,26645,62.4
The_Tragical_History_of_Doctor_Faustus.txt,20455,11443,55.94
The_Travels_of_Marco_Polo_Volume.txt,376378,192634,51.18
The_Works_of_Edgar_Allan_Poe.txt,95874,55294,57.67
Through_the_Looking_Glass.txt,31055,17782,57.26
Thus_Spake_Zarathustra_A_Book_for.txt,112499,66709,59.3
Twenty_years_after.txt,252304,143017,56.68
Walden_and_On_The_Duty_Of.txt,116520,72264,62.02
War_and_Peace.txt,572177,331870,58.0
White_Nights_and_Other_Stories_The.txt,119755,78496,65.55
Wuthering_Heights.txt,118283,69331,58.61
