book,total_words,common_count,percentage_common,ASL,ASW,FKGL_Score
Alices_Adventures_in_Wonderland.txt,27627,5679,20.56,17.5,1.29,6.5
A_Dolls_House_a_play.txt,27339,4639,16.97,10.1,1.32,3.89
A_Modest_Proposal_For_preventing_the_children_of_poor_people_in_Ireland_from_being_a_burden_on_their_parents_or_country_and_for_making_them_beneficial_to_the_publick.txt,3420,942,27.54,50.29,1.47,21.35
A_Room_with_a_View.txt,68578,13316,19.42,11.89,1.39,5.48
A_Tale_of_Two_Cities.txt,138731,28548,20.58,18.37,1.37,7.76
Beowulf_An_Anglo_Saxon_Epic_Poem.txt,40272,6921,17.19,18.15,1.44,8.49
Cranford.txt,71667,14719,20.54,27.0,1.37,11.07
Crime_and_Punishment.txt,207618,41044,19.77,13.72,1.37,5.94
Dracula.txt,163510,31914,19.52,18.67,1.29,6.87
Frankenstein_Or_The_Modern_Prometheus.txt,75394,16841,22.34,23.14,1.45,10.51
History_of_Tom_Jones_a_Foundling.txt,356777,79954,22.41,29.94,1.43,12.95
Jane_Eyre_An_Autobiography.txt,189327,37096,19.59,19.2,1.36,8.0
Little_Women_Or_Meg_Jo_Beth_and_Amy.txt,197644,39614,20.04,21.3,1.34,8.52
Middlemarch.txt,321402,67639,21.04,19.64,1.43,8.95
Moby_Dick_Or_The_Whale.txt,214930,42637,19.84,23.23,1.41,10.06
My_Life_Volume_1.txt,219847,50741,23.08,31.94,1.51,14.71
Pride_and_Prejudice.txt,129358,27436,21.21,18.85,1.46,8.99
Romeo_and_Juliet.txt,26146,4578,17.51,12.55,1.3,4.68
Simple_Sabotage_Field_Manual.txt,9156,2355,25.72,19.13,1.57,10.45
The_Adventures_of_Ferdinand_Count_Fathom_Complete.txt,162205,34869,21.5,41.3,1.55,18.8
The_Adventures_of_Roderick_Random.txt,191750,40338,21.04,38.64,1.45,16.62
The_Blue_Castle_a_novel.txt,69585,13497,19.4,11.94,1.39,5.47
The_Complete_Works_of_William_Shakespeare.txt,969332,177772,18.34,13.74,1.31,5.25
The_Enchanted_April.txt,79169,16778,21.19,15.64,1.41,7.09
The_Expedition_of_Humphry_Clinker.txt,149343,30963,20.73,41.07,1.47,17.74
The_Importance_of_Being_Earnest_A_Trivial_Comedy_for_Serious_People.txt,20633,4051,19.63,10.34,1.45,5.61
The_Legend_of_Sleepy_Hollow.txt,12246,2651,21.65,35.1,1.43,14.99
The_Picture_of_Dorian_Gray.txt,80508,16267,20.21,12.65,1.35,5.25
The_Scarlet_Letter.txt,85039,18690,21.98,23.0,1.47,10.71
The_Strange_Case_of_Dr_Jekyll_and_Mr_Hyde.txt,26073,5213,19.99,21.06,1.35,8.6
The_Works_of_Edgar_Allan_Poe_Volume_2.txt,95874,20510,21.39,23.07,1.49,11.05
Twenty_years_after.txt,252304,47771,18.93,15.92,1.36,6.61
