book,total_words,common_count,percentage_common,ASL,ASW,FKGL_Score
Alices_Adventures_in_Wonderland.txt,27627,16212,58.68,17.5,1.29,6.5
A_Dolls_House_a_play.txt,27339,17592,64.35,10.1,1.32,3.89
A_Modest_Proposal_For_preventing_the_children_of_poor_people_in_Ireland_from_being_a_burden_on_their_parents_or_country_and_for_making_them_beneficial_to_the_publick.txt,3420,1940,56.73,50.29,1.47,21.35
A_Room_with_a_View.txt,68578,40185,58.6,11.89,1.39,5.48
A_Tale_of_Two_Cities.txt,138731,83641,60.29,18.37,1.37,7.76
Beowulf_An_Anglo_Saxon_Epic_Poem.txt,40272,20756,51.54,18.15,1.44,8.49
Cranford.txt,71667,45133,62.98,27.0,1.37,11.07
Crime_and_Punishment.txt,207618,125804,60.59,13.72,1.37,5.94
Dracula.txt,163510,107775,65.91,18.67,1.29,6.87
Frankenstein_Or_The_Modern_Prometheus.txt,75394,44729,59.33,23.14,1.45,10.51
History_of_Tom_Jones_a_Foundling.txt,356777,214655,60.17,29.94,1.43,12.95
Jane_Eyre_An_Autobiography.txt,189327,114668,60.57,19.2,1.36,8.0
Little_Women_Or_Meg_Jo_Beth_and_Amy.txt,197644,128136,64.83,21.3,1.34,8.52
Middlemarch.txt,321402,191765,59.67,19.64,1.43,8.95
Moby_Dick_Or_The_Whale.txt,214930,124120,57.75,23.23,1.41,10.06
My_Life_Volume_1.txt,219847,129584,58.94,31.94,1.51,14.71
Pride_and_Prejudice.txt,129358,77790,60.14,18.85,1.46,8.99
Romeo_and_Juliet.txt,26146,15861,60.66,12.55,1.3,4.68
Simple_Sabotage_Field_Manual.txt,9156,4933,53.88,19.13,1.57,10.45
The_Adventures_of_Ferdinand_Count_Fathom_Complete.txt,162205,92076,56.77,41.3,1.55,18.8
The_Adventures_of_Roderick_Random.txt,191750,114867,59.9,38.64,1.45,16.62
The_Blue_Castle_a_novel.txt,69585,39653,56.98,11.94,1.39,5.47
The_Complete_Works_of_William_Shakespeare.txt,969332,585633,60.42,13.74,1.31,5.25
The_Enchanted_April.txt,79169,48278,60.98,15.64,1.41,7.09
The_Expedition_of_Humphry_Clinker.txt,149343,88302,59.13,41.07,1.47,17.74
The_Importance_of_Being_Earnest_A_Trivial_Comedy_for_Serious_People.txt,20633,12764,61.86,10.34,1.45,5.61
The_Legend_of_Sleepy_Hollow.txt,12246,7008,57.23,35.1,1.43,14.99
The_Picture_of_Dorian_Gray.txt,80508,49535,61.53,12.65,1.35,5.25
The_Scarlet_Letter.txt,85039,48255,56.74,23.0,1.47,10.71
The_Strange_Case_of_Dr_Jekyll_and_Mr_Hyde.txt,26073,16162,61.99,21.06,1.35,8.6
The_Works_of_Edgar_Allan_Poe_Volume_2.txt,95874,55294,57.67,23.07,1.49,11.05
Twenty_years_after.txt,252304,143017,56.68,15.92,1.36,6.61
