book,total_words,common_count,percentage_common
Alices_Adventures_in_Wonderland.txt,27627,5679,20.56
A_Dolls_House_a_play.txt,27339,4639,16.97
A_Modest_Proposal_For_preventing_the_children_of_poor_people_in_Ireland_from_being_a_burden_on_their_parents_or_country_and_for_making_them_beneficial_to_the_publick.txt,3420,942,27.54
A_Room_with_a_View.txt,68578,13316,19.42
A_Tale_of_Two_Cities.txt,138731,28548,20.58
Beowulf_An_Anglo_Saxon_Epic_Poem.txt,40272,6921,17.19
Cranford.txt,71667,14719,20.54
Crime_and_Punishment.txt,207618,41044,19.77
Dracula.txt,163510,31914,19.52
Frankenstein_Or_The_Modern_Prometheus.txt,75394,16841,22.34
History_of_Tom_Jones_a_Foundling.txt,356777,79954,22.41
Jane_Eyre_An_Autobiography.txt,189327,37096,19.59
Little_Women_Or_Meg_Jo_Beth_and_Amy.txt,197644,39614,20.04
Middlemarch.txt,321402,67639,21.04
Moby_Dick_Or_The_Whale.txt,214930,42637,19.84
My_Life_Volume_1.txt,219847,50741,23.08
Pride_and_Prejudice.txt,129358,27436,21.21
Romeo_and_Juliet.txt,26146,4578,17.51
Simple_Sabotage_Field_Manual.txt,9156,2355,25.72
The_Adventures_of_Ferdinand_Count_Fathom_Complete.txt,162205,34869,21.5
The_Adventures_of_Roderick_Random.txt,191750,40338,21.04
The_Blue_Castle_a_novel.txt,69585,13497,19.4
The_Complete_Works_of_William_Shakespeare.txt,969332,177772,18.34
The_Enchanted_April.txt,79169,16778,21.19
The_Expedition_of_Humphry_Clinker.txt,149343,30963,20.73
The_Importance_of_Being_Earnest_A_Trivial_Comedy_for_Serious_People.txt,20633,4051,19.63
The_Legend_of_Sleepy_Hollow.txt,12246,2651,21.65
The_Picture_of_Dorian_Gray.txt,80508,16267,20.21
The_Scarlet_Letter.txt,85039,18690,21.98
The_Strange_Case_of_Dr_Jekyll_and_Mr_Hyde.txt,26073,5213,19.99
The_Works_of_Edgar_Allan_Poe_Volume_2.txt,95874,20510,21.39
Twenty_years_after.txt,252304,47771,18.93
