book,total_words,common_count,percentage_common
Alices_Adventures_in_Wonderland.txt,27627,16212,58.68
A_Dolls_House_a_play.txt,27339,17592,64.35
A_Modest_Proposal_For_preventing_the_children_of_poor_people_in_Ireland_from_being_a_burden_on_their_parents_or_country_and_for_making_them_beneficial_to_the_publick.txt,3420,1940,56.73
A_Room_with_a_View.txt,68578,40185,58.6
A_Tale_of_Two_Cities.txt,138731,83641,60.29
Beowulf_An_Anglo_Saxon_Epic_Poem.txt,40272,20756,51.54
Cranford.txt,71667,45133,62.98
Crime_and_Punishment.txt,207618,125804,60.59
Dracula.txt,163510,107775,65.91
Frankenstein_Or_The_Modern_Prometheus.txt,75394,44729,59.33
History_of_Tom_Jones_a_Foundling.txt,356777,214655,60.17
Jane_Eyre_An_Autobiography.txt,189327,114668,60.57
Little_Women_Or_Meg_Jo_Beth_and_Amy.txt,197644,128136,64.83
Middlemarch.txt,321402,191765,59.67
Moby_Dick_Or_The_Whale.txt,214930,124120,57.75
My_Life_Volume_1.txt,219847,129584,58.94
Pride_and_Prejudice.txt,129358,77790,60.14
Romeo_and_Juliet.txt,26146,15861,60.66
Simple_Sabotage_Field_Manual.txt,9156,4933,53.88
The_Adventures_of_Ferdinand_Count_Fathom_Complete.txt,162205,92076,56.77
The_Adventures_of_Roderick_Random.txt,191750,114867,59.9
The_Blue_Castle_a_novel.txt,69585,39653,56.98
The_Complete_Works_of_William_Shakespeare.txt,969332,585633,60.42
The_Enchanted_April.txt,79169,48278,60.98
The_Expedition_of_Humphry_Clinker.txt,149343,88302,59.13
The_Importance_of_Being_Earnest_A_Trivial_Comedy_for_Serious_People.txt,20633,12764,61.86
The_Legend_of_Sleepy_Hollow.txt,12246,7008,57.23
The_Picture_of_Dorian_Gray.txt,80508,49535,61.53
The_Scarlet_Letter.txt,85039,48255,56.74
The_Strange_Case_of_Dr_Jekyll_and_Mr_Hyde.txt,26073,16162,61.99
The_Works_of_Edgar_Allan_Poe_Volume_2.txt,95874,55294,57.67
Twenty_years_after.txt,252304,143017,56.68
