book,total_words,common_count,percentage_common,ASL,ASW,FKGL_Score
1080.txt,3420,3001,87.75,50.29,1.47,21.35
11.txt,27627,22248,80.53,17.5,1.29,6.5
1232.txt,50102,43335,86.49,37.83,1.46,16.43
1260.txt,189327,156353,82.58,19.2,1.36,8.0
1322.txt,121760,99001,81.31,34.09,1.39,14.16
1342.txt,129358,110654,85.54,18.85,1.46,8.99
135.txt,573637,466705,81.36,16.87,1.41,7.66
1400.txt,189060,158963,84.08,19.46,1.34,7.81
158.txt,161189,137894,85.55,16.85,1.43,7.81
161.txt,120819,103421,85.6,21.86,1.45,10.07
16328.txt,40272,28463,70.68,18.15,1.44,8.49
1661.txt,107235,91145,85.0,16.01,1.33,6.4
174.txt,80508,67579,83.94,12.65,1.35,5.25
1952.txt,6125,5448,88.95,15.6,1.29,5.73
23.txt,40991,35894,87.57,19.75,1.4,8.69
2542.txt,27339,22788,83.35,10.1,1.32,3.89
2591.txt,103394,90228,87.27,23.22,1.22,7.81
2600.txt,572177,477605,83.47,18.3,1.41,8.17
2701.txt,214930,171283,79.69,23.23,1.41,10.06
27827.txt,59393,52327,88.1,24.55,1.41,10.66
2814.txt,68870,56743,82.39,14.89,1.35,6.18
30254.txt,189972,163045,85.83,24.89,1.4,10.59
345.txt,163510,142616,87.22,18.67,1.29,6.87
4300.txt,267753,207827,77.62,13.04,1.4,6.06
5200.txt,22012,19867,90.26,27.46,1.34,10.97
74.txt,72200,57778,80.02,15.41,1.33,6.11
76.txt,112859,93146,82.53,19.11,1.23,6.34
84.txt,75394,64225,85.19,23.14,1.45,10.51
844.txt,20633,17386,84.26,10.34,1.45,5.61
98.txt,138731,115237,83.07,18.37,1.37,7.76
Old_Man_and_the_Sea_-_Ernest_Hemingwaypdf.txt,27998,24626,87.96,14.59,1.2,4.21
The_Little_Prince_-_Antoine_de_Saint-Exupérypdf.txt,17784,14968,84.17,12.59,1.32,4.93
