book,official_lexile
A_Dolls_House_a_play.txt,700
A_Modest_Proposal_For_preventing_the_children_of_poor_people_in_Ireland_from_being_a_burden_on_their_parents_or_country_and_for_making_them_beneficial_to_the_publick.txt,1520
A_Room_with_a_View.txt,760
A_Tale_of_Two_Cities.txt,870
Alices_Adventures_in_Wonderland.txt,870
Beowulf_An_Anglo_Saxon_Epic_Poem.txt,990
Cranford.txt,
Crime_and_Punishment.txt,910
Dracula.txt,790
Frankenstein_Or_The_Modern_Prometheus.txt,990
History_of_Tom_Jones_a_Foundling.txt,1360
Jane_Eyre_An_Autobiography.txt,600
Little_Women_Or_Meg_Jo_Beth_and_Amy.txt,1080
Middlemarch.txt,860
Moby_Dick_Or_The_Whale.txt,970
My_Life_Volume_1.txt,
Pride_and_Prejudice.txt,1030
Romeo_and_Juliet.txt,700
Simple_Sabotage_Field_Manual.txt,
The_Adventures_of_Ferdinand_Count_Fathom_Complete.txt,
The_Adventures_of_Roderick_Random.txt,
The_Blue_Castle_a_novel.txt,870
The_Complete_Works_of_William_Shakespeare.txt,NP
The_Enchanted_April.txt,850
The_Expedition_of_Humphry_Clinker.txt,1300
The_Importance_of_Being_Earnest_A_Trivial_Comedy_for_Serious_People.txt,NP
The_Legend_of_Sleepy_Hollow.txt,560
The_Picture_of_Dorian_Gray.txt,920
The_Scarlet_Letter.txt,910
The_Strange_Case_of_Dr_Jekyll_and_Mr_Hyde.txt,1110
The_Works_of_Edgar_Allan_Poe_Volume_2.txt,1180
Twenty_years_after.txt,1060
