book_id,title,author,FKGL_Score_Gabarito,ASL_Gabarito,ASW_Gabarito
1342,Pride and Prejudice,"Austen, Jane",7.9,18.0,1.4041297425390635
1952,The Yellow Wallpaper,"Gilman, Charlotte Perkins",5.6,15.0,1.267001813087193
11,Alice's Adventures in Wonderland,"Carroll, Lewis",6.4,17.0,1.2812270264125205
84,"Frankenstein; Or, The Modern Prometheus","Shelley, Mary Wollstonecraft",9.9,23.0,1.424806894435625
5200,Metamorphosis,"Kafka, Franz",10.3,27.0,1.3056171101625647
76,Adventures of Huckleberry Finn,"Twain, Mark",6.0,19.0,1.1926280581555309
844,The Importance of Being Earnest: A Trivial Comedy for Serious People,"Wilde, Oscar",4.8,10.0,1.4151272727272728
74,The Adventures of Tom Sawyer,"Twain, Mark",5.6,15.0,1.3078959263235213
23,"Narrative of the Life of Frederick Douglass, an American Slave","Douglass, Frederick",8.3,19.0,1.3724447717231223
2542,A Doll's House : a play,"Ibsen, Henrik",3.7,10.0,1.274166855588302
2701,"Moby Dick; Or, The Whale","Melville, Herman",9.9,23.0,1.3896557739546154
1661,The Adventures of Sherlock Holmes,"Doyle, Arthur Conan",6.0,16.0,1.3132206569175406
1400,Great Expectations,"Dickens, Charles",7.2,19.0,1.305668174275209
4300,Ulysses,"Joyce, James",6.0,13.0,1.3717680820133291
98,A Tale of Two Cities,"Dickens, Charles",6.8,18.0,1.3474952142541599
1080,"A Modest Proposal: For preventing the children of poor people in Ireland, from being a burden on their parents or country, and for making them beneficial to the publick","Swift, Jonathan",20.4,50.0,1.4265395894428152
345,Dracula,"Stoker, Bram",6.8,18.0,1.2628608589048682
1232,The Prince,"Machiavelli, Niccolo",15.8,38.0,1.447868753154972
174,The Picture of Dorian Gray,"Wilde, Oscar",4.4,12.0,1.3305106436898124
2600,War and Peace,"Tolstoy, Leo, graf",7.9,18.0,1.3994710752021655
2591,Grimms' Fairy Tales,"Grimm, Wilhelm",7.5,23.0,1.1990178721552416
27827,"The Kama Sutra of Vatsyayana: Translated From the Sanscrit in Seven Parts With Preface, Introduction and Concluding Remarks",Vatsyayana,10.3,24.0,1.3764139733840304
158,Emma,"Austen, Jane",7.2,16.0,1.3747210030551515
16328,Beowulf: An Anglo-Saxon Epic Poem,Unknown,7.9,18.0,1.3933410404624278
135,Les Misérables,"Hugo, Victor",7.2,16.0,1.3982538477465662
